step,time,energy,E_over_E0
0,0,39.28853391923779,1
10,0.25,6.433572767318887,0.1637519175580299
20,0.5,1.053512684503935,0.02681476195241986
30,0.75,0.1725151821798475,0.004390980394801007
40,1,0.02824976725590305,0.0007190333778800138
50,1.25,0.00462596591760258,0.0001177434089831857
60,1.5,0.00075751282057068,1.92807606954191e-05
70,1.75,0.0001240445130465829,3.157270090596179e-06
80,2,2.031258388758824e-05,5.170104827363411e-07
90,2.25,3.32623513406629e-06,8.466172702966616e-08
100,2.5,5.446799520892117e-07,1.386358557458177e-08
110,2.75,8.919341466771246e-08,2.2702148889307e-09
120,3,1.460622140942614e-08,3.71768044067283e-10
130,3.25,2.392261392062918e-09,6.088955614837889e-11
140,3.5,3.921053495229757e-10,9.980147142395144e-12
150,3.75,6.450857562078078e-11,1.641918625759509e-12
160,4,1.081352326510667e-11,2.752335652772166e-13
170,4.25,1.981601374276574e-12,5.043714225504035e-14
180,4.5,5.04003789360574e-13,1.282826664890609e-14
190,4.75,2.36499869583054e-13,6.019564641154777e-15
200,5,1.715576500430962e-13,4.366608598726365e-15
210,5.25,1.432169753035068e-13,3.645261378240942e-15
220,5.5,1.235972720018212e-13,3.145886590115323e-15
230,5.75,1.076130851793228e-13,2.739045580080289e-15
240,6,9.403610555302177e-14,2.39347453754126e-15
250,6.25,8.235929316149617e-14,2.096267917016079e-15
260,6.5,7.2257784169066e-14,1.839157050695768e-15
270,6.75,6.34840175333833e-14,1.615840837020851e-15
280,7,5.583975818076333e-14,1.421273654434358e-15
290,7.25,4.916263142084317e-14,1.251322625626671e-15
300,7.5,4.331804615219765e-14,1.102562041160482e-15
310,7.75,3.819316043750233e-14,9.721197669531998e-16
320,8,3.369298511826762e-14,8.57578070679031e-16
330,8.25,2.973646071145505e-14,7.568737681223189e-16
340,8.5,2.625439254000807e-14,6.682456666358961e-16
350,8.75,2.318743438891049e-14,5.901832437060388e-16
360,9,2.04840967044284e-14,5.213759502081668e-16
370,9.25,1.809982499310937e-14,4.606897531558619e-16
380,9.5,1.599605044858178e-14,4.07142971571898e-16
390,9.75,1.413891033365695e-14,3.598737067339073e-16
400,10,1.249894791838988e-14,3.181322047822639e-16
