step,time,energy,E_over_E0
0,0,2.466656848314649,1
10,0.5,1.523532823879816,0.6176509006191009
20,1,0.9410115360017325,0.3814926817423678
30,1.5,0.5812166938641466,0.2356293273064167
40,2,0.358989058371992,0.1455366840415084
50,2.5,0.2217299423628453,0.089890874976932
60,3,0.1369517153619989,0.055521186684549
70,3.5,0.08458836069105199,0.03429271515770313
80,4,0.05224608355935186,0.02118092899506843
90,4.5,0.03226984451513944,0.01308242147146974
100,5,0.0199315009678824,0.008080370393433792
110,5.5,0.01231071103073705,0.004990848661883544
120,6,0.007603722686340744,0.003082602548277443
130,6.5,0.004696446740275069,0.001903972473302856
140,7,0.002900764913989128,0.001175990456869217
150,7.5,0.001791660280967532,0.0007263516537339555
160,8,0.001106620721629666,0.0004486318080221688
170,8.5,0.0006835053690417554,0.0002770978741971193
180,9,0.0004221677584537835,0.0001711497725118234
190,9.5,0.0002607523281459463,0.000105710824075147
200,10,0.0001610539300361443,6.529239368912821e-05
