step,time,energy,E_over_E0
0,0,2.466656848314649,1
10,0.25,2.319604951018476,0.9403841286652226
20,0.5,2.181319947717525,0.8843224176917509
30,0.75,2.051278909481534,0.8316028680207695
40,1,1.928990366081592,0.7820262341718024
50,1.25,1.813992146673796,0.7354051488407121
60,1.5,1.705849633079837,0.6915634147673861
70,1.75,1.604154117213058,0.6503353388247342
80,2,1.508521256428542,0.6115651058067699
90,2.25,1.418589620958848,0.5751061895488638
100,2.5,1.33401932794545,0.5408207991545007
110,2.75,1.25449075690347,0.5085793582356639
120,3,1.179703341764944,0.478260015198701
130,3.25,1.109374434935341,0.4497481827248587
140,3.5,1.043238239070229,0.4229361047050483
150,3.75,0.9810448025348589,0.3977224489921088
160,4,0.9225590747502097,0.3740119244314632
170,4.25,0.8675600178552787,0.3517149207227758
180,4.5,0.8158397713282958,0.3307471697515286
190,4.75,0.7672028664096884,0.3110294271105777
200,5,0.7214654873578008,0.292487172608036
210,5.25,0.6784547767454188,0.2750503286296085
220,5.5,0.6380081821715728,0.258652995290972
230,5.75,0.5999728419195991,0.2432332013792402
240,6,0.5642050072396719,0.2287326701422481
250,6.25,0.5305694990723882,0.2150965990404792
260,6.5,0.4989391971601976,0.2022734526292538
270,6.75,0.4691945596158354,0.1902147677883991
280,7,0.4412231711320432,0.1788749705632992
290,7.25,0.4149193181251156,0.1682112039251064
300,7.5,0.3901835892065841,0.1581831657991578
310,7.75,0.366922499473078,0.1487529567494477
320,8,0.3450481371944366,0.1398849367435084
330,8.25,0.3244778315647725,0.1315455904563592
340,8.5,0.3051338402608099,0.1237034006044633
350,8.75,0.2869430556266627,0.1163287288309752
360,9,0.2698367283746373,0.1093937036921062
370,9.25,0.2537502077578149,0.1028721153212659
380,9.5,0.238622697232444,0.09673931637288083
390,9.75,0.2243970246867037,0.09097212887152248
400,10,0.211019426367455,0.08554875661429547
