step,time,energy,E_over_E0
0,0,39.28853391923779,1
10,0.25,15.4315693596607,0.3927753932325933
20,0.5,6.061156860699237,0.1542729202662196
30,0.75,2.380679610078459,0.06059476831006792
40,1,0.9350748608768303,0.02380019735017313
50,1.25,0.3672753746718322,0.009348156778433373
60,1.5,0.1442571140989523,0.003671735738357908
70,1.75,0.05666079572593304,0.001442171292072287
80,2,0.02225502565201779,0.0005664509064595186
90,2.25,0.008741249765343018,0.0002224885709227961
100,2.5,0.003433356977189946,8.738826916391472e-05
110,2.75,0.001348541740038345,3.43240534963822e-05
120,3,0.0005296754302884731,1.34816797027164e-05
130,3.25,0.0002080440343784133,5.295286273752854e-06
140,3.5,8.171479841569167e-05,2.079863773579998e-06
150,3.75,3.209564998894145e-05,8.169215490432358e-07
160,4,1.260641693314758e-05,3.20867583378437e-07
170,4.25,4.951504953021994e-06,1.260292624611648e-07
180,4.5,1.944835591834046e-06,4.950135313859979e-08
190,4.75,7.638864966741792e-07,1.944298808004488e-08
200,5,3.000373610316222e-07,7.636766534693921e-09
210,5.25,1.178482313925687e-07,2.999557876983132e-09
220,5.5,4.628854240813212e-08,1.178169246612349e-09
230,5.75,1.818151030578112e-08,4.627688664370974e-10
240,6,7.141672112044901e-09,1.817749709552779e-10
250,6.25,2.805436188308845e-09,7.140597799031518e-11
260,6.5,1.102225419479245e-09,2.805463349039694e-11
270,6.75,4.332111992250385e-10,1.102640276971279e-11
280,7,1.704099954055603e-10,4.337397668130304e-12
290,7.25,6.716368365404159e-11,1.70949834351428e-12
300,7.5,2.658998947121302e-11,6.767875209055109e-13
310,7.75,1.063526725280769e-11,2.706964651485783e-13
320,8,4.352484975814338e-12,1.107825755158333e-13
330,8.25,1.870442091706146e-12,4.760783631048845e-14
340,8.5,8.827859658303435e-13,2.24693028160586e-14
350,8.75,4.834093353473201e-13,1.230408180516547e-14
360,9,3.162273828836035e-13,8.048846605822606e-15
370,9.25,2.412262858376775e-13,6.13986478430441e-15
380,9.5,2.03288538056812e-13,5.174245963840124e-15
390,9.75,1.806589596800379e-13,4.598261672257959e-15
400,10,1.647056529725365e-13,4.19220664510181e-15
