step,time,energy,E_over_E0
0,0,2.466656848314649,1
10,1,0.9726923243359744,0.3943362957034617
20,2,0.3835679349991868,0.1555011331475883
30,3,0.1512547771568508,0.06131974833069955
40,4,0.05964525583406736,0.02418060537071468
50,5,0.02352029212156592,0.00953529151719512
60,6,0.00927490600464205,0.003760111995707533
70,7,0.003657432524661081,0.00148274881735578
80,8,0.00144225857014117,0.0005847017476819275
90,9,0.0005687349716283317,0.000230569149501651
100,10,0.0002242728694074724,9.092179544986466e-05
