step,time,energy,E_over_E0
0,0,39.28853391923779,1
10,0.5,0.1141716046578784,0.002905977731125614
20,1,0.0003317810325642822,8.444729275118719e-06
30,1.5,9.641518337797195e-07,2.454028536065121e-08
40,2,2.802159933707336e-09,7.132258840371866e-11
50,2.5,8.319942842500391e-12,2.117651643505714e-13
60,3,1.246855551315538e-13,3.173586354427468e-15
70,3.5,6.006252520825394e-14,1.52875455550771e-15
80,4,3.635000211330228e-14,9.25206376700744e-16
90,4.5,2.223728345398439e-14,5.659993192847496e-16
100,5,1.366884372869336e-14,3.479092336912157e-16
110,5.5,8.422093970817025e-15,2.143651882793497e-16
120,6,5.19555434568621e-15,1.322409829892427e-16
130,6.5,3.20704330913702e-15,8.1627971044414e-17
140,7,1.980216229145023e-15,5.040188654571818e-17
150,7.5,1.222894774809467e-15,3.112599664124071e-17
160,8,7.55261751475942e-16,1.922346486709001e-17
170,8.5,4.664687521750839e-16,1.187289790792309e-17
180,9,2.881084122509408e-16,7.333142357594244e-18
190,9.5,1.779489804433664e-16,4.529285333200812e-18
200,10,1.099099890160011e-16,2.797508027200354e-18
