step,time,energy,E_over_E0
0,0,39.28853391923779,1
10,0.5,1.59200082490936,0.04052074908628317
20,1,0.06450923800823079,0.001641935485320911
30,1.5,0.002613969637276226,6.653263373608056e-05
40,2,0.0001059202950179478,2.69595946837007e-06
50,2.5,4.291982771938415e-06,1.092426299429012e-07
60,3,1.739156062238754e-07,4.426624993983725e-09
70,3.5,7.04767561709793e-09,1.79382504615348e-10
80,4,2.858878268774302e-10,7.276622422844951e-12
90,4.5,1.180396886965936e-11,3.004430985875881e-13
100,5,6.396005706804069e-13,1.627957337362552e-14
110,5.5,1.470654462790865e-13,3.743215427213366e-15
120,6,9.823524900738776e-14,2.500354154454373e-15
130,6.5,7.491133557656213e-14,1.906697148092907e-15
140,7,5.789471138425466e-14,1.473577800160832e-15
150,7.5,4.495366154502025e-14,1.144192899572883e-15
160,8,3.500996798868531e-14,8.910988651460608e-16
170,8.5,2.732221130593053e-14,6.954245572536394e-16
180,9,2.135343212818932e-14,5.435029001612484e-16
190,9.5,1.670561265508124e-14,4.252032587782886e-16
200,10,1.307872615740472e-14,3.328891371790453e-16
