step,time,energy,E_over_E0
0,0,2.466656848314649,1
10,0.25,2.18193420195299,0.884571440670316
20,0.5,1.930076916757841,0.7824667294425537
30,0.75,1.707291127879227,0.6921478068770444
40,1,1.510221157524083,0.6122542576426658
50,1.25,1.335898668592598,0.5415826970441204
60,1.5,1.181697954538944,0.4790686452176526
70,1.75,1.045296390056865,0.4237704935613832
80,2,0.9246394468815615,0.3748553218958382
90,2.25,0.8179097477634548,0.3315863527276987
100,2.5,0.7234996924938556,0.2933118536484671
110,2.75,0.639987243666031,0.2594553207120416
120,3,0.5661145074484304,0.2295067949298379
130,3.25,0.5007687867460442,0.203015181089415
140,3.5,0.4429658213660083,0.1795814531999723
150,3.75,0.3918349627449373,0.1588526442227502
160,4,0.3466060599345135,0.1405165295575398
170,4.25,0.3065978593174435,0.1242969242061081
180,4.5,0.2712077433262408,0.1099495227767674
190,4.75,0.2399026536058008,0.09725821967077222
200,5,0.2122110619012559,0.08603185402389867
210,5.25,0.1877158677338194,0.07610133037437974
220,5.5,0.1660481158868957,0.06731707168767663
230,5.75,0.1468814390730407,0.05954676637465722
240,6,0.1299271420752687,0.05267337536797705
250,6.25,0.1149298533183119,0.04659336923854572
260,6.5,0.1016636783722725,0.04121516879890874
270,6.75,0.08992879745139375,0.03645776570536671
280,7,0.0795484556582747,0.03224950228185425
290,7.25,0.07036630063953353,0.02852699218685871
300,7.5,0.06224402755175532,0.02523416566608515
310,7.75,0.05505929586537026,0.02232142501012644
320,8,0.04870388662863577,0.01974489749634727
330,8.25,0.04308207243578172,0.0174657745625289
340,8.5,0.03810917554720669,0.01544972725867601
350,8.75,0.03371029244362928,0.01366638917231715
360,9,0.02981916560297525,0.01208889903893575
370,9.25,0.02637718550631266,0.01069349614817114
380,9.5,0.02333250784069595,0.009459162451655144
390,9.75,0.0206392726019177,0.008367305981786461
400,10,0.01825691333502036,0.00740148081298558
