step,time,energy,E_over_E0
0,0,9.857688472760229,1
10,0.5,9.857688472760167,0.9999999999999937
20,1,9.857688472760127,0.9999999999999897
30,1.5,9.857688472760062,0.999999999999983
40,2,9.857688472760051,0.999999999999982
50,2.5,9.857688472760001,0.9999999999999769
60,3,9.857688472759937,0.9999999999999705
70,3.5,9.857688472759897,0.9999999999999662
80,4,9.857688472759843,0.9999999999999609
90,4.5,9.857688472759792,0.9999999999999557
100,5,9.857688472759731,0.9999999999999496
110,5.5,9.857688472759676,0.9999999999999439
120,6,9.857688472759705,0.9999999999999468
130,6.5,9.857688472759643,0.9999999999999405
140,7,9.857688472759593,0.9999999999999355
150,7.5,9.857688472759541,0.9999999999999303
160,8,9.857688472759492,0.9999999999999252
170,8.5,9.857688472759447,0.9999999999999207
180,9,9.857688472759378,0.9999999999999137
190,9.5,9.85768847275933,0.9999999999999089
200,10,9.857688472759341,0.9999999999999098
