step,time,energy,E_over_E0
0,0,2.466656848314649,1
10,0.25,2.466656848314646,0.9999999999999989
20,0.5,2.466656848314647,0.9999999999999991
30,0.75,2.466656848314634,0.9999999999999939
40,1,2.466656848314636,0.9999999999999946
50,1.25,2.466656848314587,0.999999999999975
60,1.5,2.466656848314581,0.9999999999999722
70,1.75,2.466656848314579,0.9999999999999716
80,2,2.46665684831457,0.9999999999999678
90,2.25,2.466656848314559,0.9999999999999636
100,2.5,2.466656848314561,0.9999999999999641
110,2.75,2.466656848314564,0.9999999999999656
120,3,2.466656848314552,0.9999999999999607
130,3.25,2.466656848314558,0.9999999999999629
140,3.5,2.466656848314554,0.9999999999999615
150,3.75,2.466656848314544,0.9999999999999575
160,4,2.466656848314537,0.9999999999999545
170,4.25,2.466656848314537,0.9999999999999545
180,4.5,2.466656848314529,0.9999999999999513
190,4.75,2.466656848314527,0.9999999999999507
200,5,2.466656848314518,0.9999999999999469
210,5.25,2.466656848314518,0.9999999999999467
220,5.5,2.466656848314519,0.999999999999947
230,5.75,2.466656848314507,0.9999999999999422
240,6,2.466656848314506,0.9999999999999418
250,6.25,2.466656848314497,0.9999999999999384
260,6.5,2.466656848314489,0.9999999999999352
270,6.75,2.466656848314492,0.9999999999999363
280,7,2.466656848314481,0.9999999999999319
290,7.25,2.466656848314482,0.9999999999999323
300,7.5,2.46665684831448,0.9999999999999316
310,7.75,2.466656848314477,0.9999999999999303
320,8,2.466656848314469,0.9999999999999269
330,8.25,2.466656848314456,0.9999999999999215
340,8.5,2.466656848314449,0.9999999999999188
350,8.75,2.466656848314446,0.9999999999999177
360,9,2.466656848314447,0.9999999999999181
370,9.25,2.466656848314432,0.9999999999999122
380,9.5,2.466656848314437,0.999999999999914
390,9.75,2.466656848314433,0.9999999999999123
400,10,2.466656848314426,0.9999999999999094
