step,time,energy,E_over_E0
0,0,39.28853391923779,1
10,1,2.450576852367081e-05,6.237384315242026e-07
20,2,1.533381019536104e-11,3.902871567282581e-13
30,3,7.613214386589296e-15,1.937770038006293e-16
40,4,1.247764887890837e-15,3.175900863228352e-17
50,5,2.057320884698371e-16,5.236440965008867e-18
60,6,3.393878737550158e-17,8.638344063758336e-19
70,7,5.599103041108847e-18,1.425123943952315e-19
80,8,9.237733456076269e-19,2.35125430617124e-20
90,9,1.524003071623867e-19,3.87900214031054e-21
100,10,2.51734383636111e-20,6.407324441109987e-22
