step,time,energy,E_over_E0
0,0,9.857688472760229,1
10,0.25,7.728841177295767,0.7840419382954624
20,0.5,6.059738702250805,0.6147220739421513
30,0.75,4.751091696605136,0.48196813175156
40,1,3.725057039412591,0.3778834206118452
50,1.25,2.920602428462368,0.2962766003949987
60,1.5,2.289875954896143,0.2322933983178472
70,1.75,1.795359696247123,0.1821278590014529
80,2,1.407638012889583,0.142795952294426
90,2.25,1.103647797973865,0.1119580722218578
100,2.5,0.8653065992963644,0.0877798686464345
110,2.75,0.6784370087640982,0.06882313339875008
120,3,0.5319233381964252,0.05396025038387956
130,3.25,0.4170504174494425,0.04230712084297234
140,3.5,0.326985184151921,0.03317057391856923
150,3.75,0.2563702281101078,0.02600713431130799
160,4,0.2010051129127916,0.02039069437710772
170,4.25,0.1575965185776358,0.01598716768267962
180,4.5,0.1235623428075746,0.01253461631994303
190,4.75,0.09687810808196588,0.009827669879167856
200,5,0.07595653831331814,0.00770530926425693
210,5.25,0.05955314184774346,0.006041288686724762
220,5.5,0.04669218453993258,0.004736626103468089
230,5.75,0.03660864950982157,0.003713715402042002
240,6,0.02870273113454018,0.002911710104641113
250,6.25,0.02250415641148899,0.002282903996578384
260,6.5,0.01764421139644769,0.001789893385777404
270,6.75,0.01383380874672151,0.001403352194071511
280,7,0.01084629174640278,0.001100287534585249
290,7.25,0.008503951934141368,0.0008626720105469305
300,7.5,0.006667458352506891,0.0006763713796526531
310,7.75,0.005227569631949587,0.0005303037975276802
320,8,0.004098635913735961,0.0004157806290046323
330,8.25,0.003213504082418011,0.0003259896162571879
340,8.5,0.002519523252389436,0.0002555896607355406
350,8.75,0.00197541290022797,0.0002003931150478768
360,9,0.00154880734785635,0.0001571166863444887
370,9.25,0.001214330533380024,0.0001231861340247854
380,9.5,0.0009520865499145865,9.658314447098722e-05
390,9.75,0.0007464761641196516,7.572527435639611e-05
400,10,0.0005852689166237594,5.937182111618097e-05
