step,time,energy,E_over_E0
0,0,9.857688472760229,1
10,0.25,9.857688472760209,0.999999999999998
20,0.5,9.857688472760195,0.9999999999999966
30,0.75,9.857688472760184,0.9999999999999954
40,1,9.857688472760225,0.9999999999999997
50,1.25,9.857688472760211,0.9999999999999982
60,1.5,9.857688472760195,0.9999999999999966
70,1.75,9.857688472760193,0.9999999999999964
80,2,9.857688472760177,0.9999999999999948
90,2.25,9.857688472760158,0.9999999999999928
100,2.5,9.857688472760158,0.9999999999999928
110,2.75,9.857688472760158,0.9999999999999928
120,3,9.857688472760159,0.999999999999993
130,3.25,9.857688472760135,0.9999999999999905
140,3.5,9.857688472760127,0.9999999999999897
150,3.75,9.857688472760122,0.9999999999999892
160,4,9.85768847276011,0.9999999999999879
170,4.25,9.857688472760094,0.9999999999999863
180,4.5,9.857688472760099,0.9999999999999869
190,4.75,9.857688472760156,0.9999999999999926
200,5,9.857688472760127,0.9999999999999897
210,5.25,9.85768847276012,0.999999999999989
220,5.5,9.857688472760106,0.9999999999999876
230,5.75,9.857688472760088,0.9999999999999858
240,6,9.857688472760076,0.9999999999999845
250,6.25,9.857688472760076,0.9999999999999845
260,6.5,9.857688472760053,0.9999999999999821
270,6.75,9.857688472759978,0.9999999999999746
280,7,9.857688472759953,0.999999999999972
290,7.25,9.857688472759937,0.9999999999999705
300,7.5,9.857688472759925,0.9999999999999691
310,7.75,9.857688472759914,0.9999999999999681
320,8,9.857688472759905,0.9999999999999672
330,8.25,9.857688472759893,0.9999999999999659
340,8.5,9.857688472759749,0.9999999999999514
350,8.75,9.857688472759733,0.9999999999999497
360,9,9.857688472759712,0.9999999999999476
370,9.25,9.857688472759694,0.9999999999999457
380,9.5,9.857688472759685,0.9999999999999448
390,9.75,9.857688472759669,0.9999999999999433
400,10,9.857688472759659,0.9999999999999422
