step,time,energy,E_over_E0
0,0,9.857688472760229,1
10,0.5,1.623869955248907,0.1647313119841584
20,1,0.2675023644601009,0.027136418968736
30,1.5,0.044066037900937,0.00447022017613001
40,2,0.007259059934957754,0.0007363856095692951
50,2.5,0.001195795076042246,0.0001213058293885619
60,3,0.0001969849921159053,1.998287860893903e-05
70,3.5,3.244961273487555e-05,3.291807488595692e-06
80,4,5.345470006715707e-06,5.422640430854409e-07
90,4.5,8.805667375368923e-07,8.93279129250396e-08
100,5,1.450569884347389e-07,1.471511184752645e-08
110,5.5,2.389544041445042e-08,2.424040938246399e-09
120,6,3.936329351864528e-09,3.993156572904282e-10
130,6.5,6.484370752170318e-10,6.577983033333416e-11
140,7,1.068179689644742e-10,1.083600574918192e-11
150,7.5,1.759628698464739e-11,1.785031758030419e-12
160,8,2.898669036106893e-12,2.940515967933853e-13
170,8.5,4.775066821290863e-13,4.844002561539467e-14
180,9,7.866334270139892e-14,7.979897408887439e-15
190,9.5,1.296014801248076e-14,1.314724851398334e-15
200,10,2.136067119041433e-15,2.166904670343389e-16
