step,time,energy,E_over_E0
0,0,9.857688472760229,1
10,0.25,6.086030137955723,0.6173891734125362
20,0.5,3.757451029524431,0.381169585537969
30,0.75,2.319810766564859,0.2353300951815628
40,1,1.432226780983809,0.1452903269302417
50,1.25,0.8842417587427346,0.08970072052755183
60,1.5,0.5459215665343496,0.05538028190309481
70,1.75,0.3370462363504244,0.03419120387926489
80,2,0.2080888032312337,0.02110928985088603
90,2.25,0.1284718396477957,0.01303265364926089
100,2.5,0.07931716327949877,0.008046223361458018
110,2.75,0.0489695828126209,0.004967653720031694
120,3,0.03023330565162448,0.003066977185895885
130,3.25,0.01866572509153439,0.001893519473973379
140,3.5,0.01152402245420133,0.001169039018228836
150,3.75,0.00711481032074977,0.0007217524007184991
160,4,0.00439260909996429,0.0004456023450226081
170,4.25,0.002711950682499105,0.0002751102035728806
180,4.5,0.00167432984292235,0.0001698501476841177
190,4.75,0.001033713644210581,0.0001048636956896177
200,5,0.0006382039373876018,6.474174337636578e-05
210,5.25,0.0003940204020556788,3.997087178647167e-05
220,5.5,0.0002432640542363773,2.467759606205749e-05
230,5.75,0.0001501886698655302,1.523568839495657e-05
240,6,9.27249059763118e-05,9.4063538559307e-06
250,6.25,5.724738221763057e-05,5.807383990255158e-06
260,6.5,3.534393199294903e-05,3.585417827984217e-06
270,6.75,2.182097207559937e-05,2.213599276939752e-06
280,7,1.347203877718577e-05,1.366652924203588e-06
290,7.25,8.317495123312906e-06,8.437571491832652e-07
300,7.5,5.135134056213053e-06,5.209267943902852e-07
310,7.75,3.170377786422513e-06,3.21614726939609e-07
320,8,1.957357918940357e-06,1.985615516608308e-07
330,8.25,1.208452203952185e-06,1.225898147716378e-07
340,8.5,7.460856879343845e-07,7.568566302293329e-08
350,8.75,4.606254612631962e-07,4.672753278175137e-08
360,9,2.843853180034007e-07,2.884908757151772e-08
370,9.25,1.75576506131937e-07,1.78111234309248e-08
380,9.5,1.083990894312084e-07,1.099640039657855e-08
390,9.75,6.692445848929215e-08,6.78906202749505e-09
400,10,4.131845729434866e-08,4.191495542644104e-09
