step,time,energy,E_over_E0
0,0,2.466656848314649,1
10,1,0.4069393262795961,0.1649760592186297
20,2,0.06713525461032899,0.02721710344760738
30,3,0.01107571109629758,0.004490171019882677
40,4,0.001827227393426471,0.0007407708107736713
50,5,0.0003014488115714949,0.0001222094641082568
60,6,4.973184307808615e-05,2.016163825627614e-05
70,7,8.204564493221777e-06,3.326188034151394e-06
80,8,1.35355688341858e-06,5.487414612792215e-07
90,9,2.23304507894771e-07,9.052921489559624e-08
100,10,3.683990222870117e-08,1.49351549462067e-08
