step,time,energy,E_over_E0
0,0,2.466656848314649,1
10,0.5,1.934379998220054,0.7842112288710631
20,1,1.516962701228231,0.6149873267798479
30,1.5,1.18961932972726,0.4822800263198634
40,2,0.932912950671304,0.3782094584046904
50,2.5,0.7316009010461278,0.2965961404586926
60,3,0.5737297118947708,0.2325940522642107
70,3.5,0.4499253374895977,0.1824028898859647
80,4,0.3528365450110488,0.14304241193992
90,4.5,0.2766984144301837,0.1121754793818357
100,5,0.2169900301732671,0.08796928130539365
110,5.5,0.1701660390485397,0.06898650664149178
120,6,0.1334461349323174,0.05409999977236189
130,6.5,0.1046499702757653,0.0424258324976446
140,7,0.08206769183890655,0.03327081831223486
150,7.5,0.06435841334706477,0.02609135250857364
160,8,0.05047059659825866,0.02046113411873356
170,8.5,0.03957961342594746,0.0160458530958574
180,9,0.03103878108311267,0.01258333971517766
190,9.5,0.0243409636359361,0.00986799750949028
200,10,0.01908845934186237,0.007738595400857892
