step,time,energy,E_over_E0
0,0,9.857688472760229,1
10,0.5,3.884172787329597,0.3940247044794263
20,1,1.530460814065105,0.1552555468043275
30,1.5,0.6030396770934213,0.06117455210314286
40,2,0.2376126515693001,0.02410429709012367
50,2.5,0.09362530249816541,0.009497693374758231
60,3,0.03689070093724706,0.003742327731210741
70,3.5,0.01453585493817312,0.00147457032937692
80,4,0.005727488863548919,0.0005810174341962318
90,4.5,0.002256773256354162,0.0002289353394145401
100,5,0.0008892248683618171,9.020622540659649e-05
110,5.5,0.0003503767444588524,3.55434994143961e-05
120,6,0.0001380571635275558,1.400502398803223e-05
130,6.5,5.439796077840066e-05,5.518328249946086e-06
140,7,2.143415134395989e-05,2.174358766072688e-06
150,7.5,8.445589454751157e-06,8.567515070179862e-07
160,8,3.327772586386092e-06,3.37581431547744e-07
170,8.5,1.311225279169928e-06,1.330154916939443e-07
180,9,5.166554171035301e-07,5.241141658424336e-08
190,9.5,2.03575102221048e-07,2.065140349926735e-08
200,10,8.021366064730367e-08,8.137167335827081e-09
