step,time,energy,E_over_E0
0,0,39.28853391923779,1
10,1,0.008544477750721279,0.0002174801881965221
20,2,1.8582600880739e-06,4.729777119944899e-08
30,3,4.042536755215542e-10,1.028935506610008e-11
40,4,1.300810251141565e-13,3.310915733876794e-15
50,5,1.623734145931989e-14,4.132844837808827e-16
60,6,6.348818283395311e-15,1.615946855244346e-16
70,7,2.498194535301404e-15,6.358584263889147e-17
80,8,9.845047735289092e-16,2.505832300977875e-17
90,9,3.881524854246883e-16,9.879536004641494e-18
100,10,1.530540429722151e-16,3.895641493949246e-18
