step,time,energy,E_over_E0
0,0,39.28853391923779,1
10,0.5,39.28853391923764,0.999999999999996
20,1,39.28853391923742,0.9999999999999906
30,1.5,39.28853391923735,0.9999999999999888
40,2,39.28853391923716,0.9999999999999839
50,2.5,39.28853391923694,0.9999999999999784
60,3,39.28853391923683,0.9999999999999756
70,3.5,39.28853391923671,0.9999999999999724
80,4,39.28853391923649,0.9999999999999667
90,4.5,39.28853391923642,0.9999999999999651
100,5,39.28853391923636,0.9999999999999635
110,5.5,39.28853391923614,0.999999999999958
120,6,39.28853391923597,0.9999999999999537
130,6.5,39.28853391923579,0.999999999999949
140,7,39.28853391923556,0.9999999999999433
150,7.5,39.28853391923538,0.9999999999999387
160,8,39.28853391923519,0.9999999999999338
170,8.5,39.28853391923499,0.9999999999999287
180,9,39.28853391923483,0.9999999999999246
190,9.5,39.28853391923464,0.9999999999999198
200,10,39.28853391923442,0.9999999999999143
