mesh,degree,m,n,theta,dt,T,omega_exact,omega_semi,omega_semi_dt,omega_num,ratio_num_semi,ratio_semi_exact,ratio_num_exact,phase_drift_T,ratio_pred_theta05,modal_csv
"../meshes/mesh-square-64.msh",1,1,1,0.5,0.2,10,4.442882938158366,4.443550842173102,0.8887101684346205,4.181497007149592,0.9410260297831198,1.000150331220523,0.9411674953747213,-2.613791150706838,0.94102604327169,"../results/dispersion/modal/modal_m1_n1_dt0p2_T10.csv"
"../meshes/mesh-square-64.msh",1,1,1,0.5,0.1,10,4.442882938158366,4.443550842173102,0.4443550842173102,4.372526110740089,0.9840162217209427,1.000150331220523,0.9841641500805688,-0.7035953261525592,0.9840165026409532,"../results/dispersion/modal/modal_m1_n1_dt0p1_T10.csv"
"../meshes/mesh-square-64.msh",1,1,1,0.5,0.05,10,4.442882938158366,4.443550842173102,0.2221775421086551,4.425405018971515,0.9959163687226512,1.000150331220523,0.9960660860459005,-0.17473181002552,0.9959166210293012,"../results/dispersion/modal/modal_m1_n1_dt0p05_T10.csv"
"../meshes/mesh-square-64.msh",1,1,1,0.5,0.025,10,4.442882938158366,4.443550842173102,0.1110887710543276,4.43898849829837,0.9989732661925612,1.000150331220523,0.9991234430629382,-0.03888174173442849,0.9989735065593388,"../results/dispersion/modal/modal_m1_n1_dt0p025_T10.csv"
"../meshes/mesh-square-64.msh",1,2,2,0.5,0.2,10,8.885765876316732,8.891102555037859,1.778220511007572,7.267659566394514,0.8174081359883231,1.00060058736584,0.8178990609875324,-16.18084920304264,0.8174081702040095,"../results/dispersion/modal/modal_m2_n2_dt0p2_T10.csv"
"../meshes/mesh-square-64.msh",1,2,2,0.5,0.1,10,8.885765876316732,8.891102555037859,0.889110255503786,8.366332251468975,0.9409780395265445,1.00060058736584,0.941543179048617,-5.194547027822011,0.9409783532694108,"../results/dispersion/modal/modal_m2_n2_dt0p1_T10.csv"
"../meshes/mesh-square-64.msh",1,2,2,0.5,0.05,10,8.885765876316732,8.891102555037859,0.444555127751893,8.74886328192666,0.9840020658595818,1.00060058736584,0.9845930450682975,-1.369251705317708,0.9840025182142388,"../results/dispersion/modal/modal_m2_n2_dt0p05_T10.csv"
"../meshes/mesh-square-64.msh",1,2,2,0.5,0.025,10,8.885765876316732,8.891102555037859,0.2222775638759465,8.854760959034859,0.9959125883681987,1.00060058736584,0.9965107208862536,-0.3097616346382353,0.9959129705992619,"../results/dispersion/modal/modal_m2_n2_dt0p025_T10.csv"
"../meshes/mesh-square-64.msh",1,4,4,0.5,0.2,10,17.77153175263346,17.81432250752855,3.562864501505711,10.59282955717431,0.5946243284131432,1.002407825925796,0.5960560802872051,-71.78816403062466,0.5946248425273819,"../results/dispersion/modal/modal_m4_n4_dt0p2_T10.csv"
"../meshes/mesh-square-64.msh",1,4,4,0.5,0.1,10,17.77153175263346,17.81432250752855,1.781432250752855,14.55323276065075,0.8169400073733017,1.002407825925796,0.8189070567028748,-32.18194687338055,0.8169405789515756,"../results/dispersion/modal/modal_m4_n4_dt0p1_T10.csv"
"../meshes/mesh-square-64.msh",1,4,4,0.5,0.05,10,17.77153175263346,17.81432250752855,0.8907161253764277,16.75946072086568,0.9407857477477978,1.002407825925796,0.9430509960618439,-10.11973350384648,0.9407868056343096,"../results/dispersion/modal/modal_m4_n4_dt0p05_T10.csv"
"../meshes/mesh-square-64.msh",1,4,4,0.5,0.025,10,17.77153175263346,17.81432250752855,0.4453580626882139,17.52831155716359,0.9839448875900786,1.002407825925796,0.986314055599972,-2.433324690604564,0.9839463313615296,"../results/dispersion/modal/modal_m4_n4_dt0p025_T10.csv"
