step,time,au,av,phase,phase_unwrapped,omega_inst,phase_drift
0,0,1,0,-0,-0,0,-0
1,0.01,0.9959847999135424,-0.8030400172913609,0.09049028069314564,0.09049028069314564,9.049028069314565,0.001632621929978317
2,0.02,0.9839715901830032,-1.599601928816458,0.1809497288824068,0.1809497288824068,9.045944818926117,0.003234411356072164
3,0.03,0.9640572166292757,-2.383272781929011,0.2713500527055726,0.2713500527055726,9.040032382316575,0.004777076416070614
4,0.04,0.9364020376448932,-3.147763014947449,0.3616671323063081,0.3616671323063081,9.031707960073557,0.00623649725363884
5,0.05,0.9012284513964531,-3.886954234740604,0.45188135215835,0.45188135215835,9.02142198520418,0.007593058342513337
6,0.06,0.8588189906674392,-4.594937911062212,0.5419769565046684,0.5419769565046684,9.009560434631846,0.008831003925664493
7,0.07000000000000001,0.8095140500506182,-5.266050212301951,0.6319412169035716,0.6319412169035716,8.996426039890318,0.009937605561400331
8,0.08,0.7537092540133987,-5.894908995141916,0.7217641586472039,0.7217641586472039,8.982294174363231,0.01090288854186527
9,0.09,0.6918524269808917,-6.476456411359496,0.8114391105833312,0.8114391105833312,8.967495193612734,0.01172018171482536
10,0.1,0.6244401137401929,-7.006006236780221,0.9009637576326426,0.9009637576326426,8.952464704931133,0.01238717000096934
11,0.11,0.5520136261093049,-7.479291289397368,0.9903410570125626,0.9903410570125626,8.937729937992005,0.01290681061772203
12,0.12,0.4751546439279419,-7.892505146875244,1.079579491503578,1.079579491503578,8.923843449101536,0.01328758634557015
13,0.13,0.3944804469987107,-8.242334238971011,1.168692548768272,1.168692548768272,8.911305726469424,0.01354298484709693
14,0.14,0.3106388755953239,-8.525980041706351,1.257697730652669,1.257697730652669,8.900518188439703,0.01369050796832672
15,0.15,0.224303103335816,-8.741174410195228,1.346615548458063,1.346615548458063,8.891781780539414,0.01375066701055361
16,0.16,0.1361662698933965,-8.886192278288691,1.435468796330446,1.435468796330446,8.885324787238284,0.01374625611976898
17,0.17,0.04693598566039614,-8.959864568311366,1.524282079689072,1.524282079689072,8.881328335862586,0.0137018807152276
18,0.18,-0.04267129328649026,-8.961591221065879,1.613081351735146,1.613081351735146,8.879927204607412,0.01364349399813447
19,0.19,-0.1319360073890181,-8.891351599439643,1.701893222496093,1.701893222496093,8.88118707609468,0.01359770599591381
20,0.2,-0.2201413086906978,-8.74970866089628,1.790744007935752,1.790744007935752,8.885078543965845,0.01359083267240502
21,0.21,-0.3065788750075517,-8.53780460247448,1.879658703046482,1.879658703046482,8.891469511073108,0.01364786901996862
22,0.22,-0.3905546392132176,-8.257348238658729,1.968660123535719,1.968660123535719,8.900142048923657,0.01379163074603795
23,0.23,-0.471394363392753,-7.910596597248352,2.05776833049048,2.05776833049048,8.910820695476055,0.01404217893763127
