step,time,au,av,phase,phase_unwrapped,omega_inst,phase_drift,au_exact,av_exact
0,0,1,0,-0,-0,0,-0,1,-0
1,0.05,0.9756194462167276,-0.9752221513308676,0.221302470026152,0.221302470026152,4.42604940052304,-0.0008416768817663123,0.9754272900395919,-0.9788630212806941
2,0.1,0.9036666081216039,-1.902891372474055,0.4425987357999296,0.4425987357999296,4.425925315475552,-0.001689558015907033,0.9029167963079644,-1.90961940833559
3,0.15,0.7876499854423467,-2.737773534696221,0.6638838027872628,0.6638838027872628,4.425701339746662,-0.002548637936492182,0.786032077468224,-2.746526747678892
4,0.2,0.6332266773306552,-3.439158789771417,0.8851548130342647,0.8851548130342647,4.425420204940039,-0.003421774597408556,0.6305174821100763,-3.448454876683763
5,0.25,0.4479265352829075,-3.972846892138481,1.106411641326392,1.106411641326392,4.425136565842548,-0.0043090932131995,0.4440158403262133,-3.980907242696023
6,0.3,0.2407849992855143,-4.312814547757239,1.327656874407657,1.327656874407657,4.424904661625294,-0.005208007039853024,0.2356928536180243,-4.31771625060017
7,0.35,0.0219025202239749,-4.442484614704332,1.548895345036097,1.548895345036097,4.424769412568806,-0.006113683319331153,0.0157866426464421,-4.442329280269639
8,0.4,-0.1980479501139285,-4.355534198811803,1.770133181717706,1.770133181717706,4.424756733632177,-0.007019993545640535,-0.2048954095071392,-4.348622172033719
9,0.45,-0.4083413829752135,-4.056203115639606,1.99137663679413,1.99137663679413,4.424869101528489,-0.007920685377134529,-0.4155077907206447,-4.041200201076232
10,0.5,-0.5987236379429229,-3.559087083068783,2.21263088011016,2.21263088011016,4.425084866320589,-0.008810588969023314,-0.6056998670788134,-3.535171749252767
11,0.55,-0.7599114652680716,-2.888426009937182,2.43389900710338,2.43389900710338,4.4253625398644,-0.009686608883721526,-0.7661245691234114,-2.855405797320067
12,0.6000000000000001,-0.8840451681315744,-2.076922104602945,2.655181431695755,2.655181431695755,4.425648491847497,-0.0105483311992649,-0.8888977575067851,-2.035309728433741
13,0.65,-0.9650718496531583,-1.164145156260431,2.876475824679642,2.876475824679642,4.425887859677748,-0.01139808512329621,-0.967985692330816,-1.115187508274616
14,0.7000000000000001,-0.9990405591410443,-0.1946032232550357,3.097777534171142,3.097777534171142,4.42603418983,-0.01224052253971442,-0.9995015638279071,-0.1402589297308862
