step,time,au,av,phase,phase_unwrapped,omega_inst,phase_drift,au_exact,av_exact
0,0,1,0,-0,-0,0,-0,1,-0
1,0.05,0.905837720332013,-3.766491186719453,0.4376736110751527,0.4376736110751527,8.753472221503053,-0.006614682740683941,0.9029167963079644,-3.81923881667118
2,0.1,0.6410839582368387,-6.823659297087501,0.8751817720329487,0.8751817720329487,8.750163219155919,-0.01339481559872457,0.6305174821100763,-6.896909753367526
3,0.15,0.2555983429957968,-8.595765312554168,1.312478041582557,1.312478041582557,8.745925390992154,-0.02038683986495338,0.2356928536180243,-8.63543250120034
4,0.2,-0.1780227161048413,-8.74907705147135,1.749667929033804,1.749667929033804,8.743797749024946,-0.02748524622954274,-0.2048954095071392,-8.697244344067439
5,0.25,-0.5781177256802638,-7.254723331545557,2.186933204586874,2.186933204586874,8.745305511061405,-0.03450826449230915,-0.6056998670788134,-7.070343498505533
6,0.3,-0.8693389731152694,-4.394126565854688,2.624401665199782,2.624401665199782,8.749369212258157,-0.04132809769523771,-0.8888977575067851,-4.070619456867482
7,0.35,-0.9968423432149328,-0.7060082381318645,3.06205527735447,3.06205527735447,8.753072243093751,-0.04796277935638704,-0.9995015638279071,-0.2805178594617725
8,0.4,-0.9366158243935165,3.115068990988485,-2.78344225977237,3.499743047407216,8.75375540105493,-0.05456330311947699,-0.9160357423258035,3.564050882922695
9,0.45,-0.7000015451727277,6.349502177843054,-2.345895972188071,3.937289334991515,8.750925751685978,-0.06130530935101497,-0.6547065517008979,6.716600669636041
10,0.5,-0.3315597878475528,8.388168115163932,-1.908565046684165,4.374620260495421,8.746618510078125,-0.06826267766294514,-0.2662553420414157,8.565012234492707
11,0.55,0.09932282021975948,8.847136207528555,-1.47136877106021,4.811816536119377,8.743925512479109,-0.07535469585482613,0.1738937108290657,8.750386144577311
12,0.6000000000000001,0.511500501595213,7.639971047489591,-1.034129955269634,5.249055351909953,8.744776315811517,-0.0824041738800867,0.5802784466011828,7.236729013745984
13,0.65,0.8273500788144995,4.994012041281882,-0.5967018953016743,5.686483411877912,8.748561199359196,-0.08926440772796429,0.8739926011143385,4.317942209103527
14,0.7000000000000001,0.9873893204901816,1.407557625745428,-0.1590735315797986,6.124111775599788,8.75256727443751,-0.09592433782192522,0.9980067521888636,0.5607560784273974
15,0.75,0.9614789071774366,-2.443974158255217,0.278622204098925,6.561807511278512,8.75391471357449,-0.1025168959590372,0.9282415176458323,-3.305310045415753
16,0.8,0.7544984068857249,-5.835245853413221,0.7162040139939999,6.999389321173587,8.751636197901497,-0.1092233798797988,0.6782429624367717,-6.529595992450053
17,0.8500000000000001,0.405427328979465,-8.127597262837162,1.153572449380869,7.436757756560456,8.747368707737373,-0.1161432383087666,0.2965524078778337,-8.486053743960898
18,0.9,-0.01999566949519639,-8.889322676149288,1.590781334514332,7.873966641693919,8.744177702669264,-0.1232226469911408,-0.1427186623198391,-8.794804927138708
19,0.9500000000000001,-0.4416529933272842,-7.976970277134234,2.027998823013301,8.311184130192888,8.744349769979387,-0.1302934523080079,-0.5542785625882083,-7.395900433970265
20,1,-0.7801362126845053,-5.562358497154618,2.465386915794778,8.748572222974365,8.747761855629554,-0.1371936533423668,-0.8582161856688175,-4.56096052416753
21,1.05,-0.9717006276242486,-2.100218100435127,2.90298530759233,9.186170614771918,8.751967835951035,-0.1438835553606523,-0.9955170552192523,-0.8404352951666039
22,1.1,-0.9802699533553108,1.757445071192621,-2.942502622232658,9.623867992126515,8.75394754709194,-0.1504744718218909,-0.9395219546681945,3.04327423573558
23,1.15,-0.8042303765849862,5.284137999620345,-2.504888815734443,10.06148179862473,8.752276129964287,-0.1571489591395139,-0.7011032515207527,6.336082141600495
24,1.2,-0.4767344716452042,7.815698197970915,-2.067480963114753,10.49888965124442,8.748157052393807,-0.164029400335659,-0.3265538488202366,8.39863574114046
25,1.25,-0.05945775929055935,8.87537029621487,-1.630253565116821,10.93611704924235,8.744547959958661,-0.1710902961535634,0.1114013415231458,8.83045641189573
26,1.3,0.3690163088180632,8.263592428130035,-1.193051710114516,11.37331890424466,8.7440371000461,-0.1781767349670957,0.5277261336052146,7.547699085591569
27,1.35,0.7279955452089958,6.095577027507286,-0.755702199101532,11.81066841525764,8.746990220259676,-0.1851155177699475,0.8415842382424711,4.799432143822061
28,1.4,0.9498753436743083,2.779614911105232,-0.3181376674778353,12.24823294688134,8.751290632473918,-0.1918392799620889,0.9920349548291275,1.119276705202981
29,1.45,0.9928702912402666,-1.059817008466884,0.1195549042937969,12.68592551865297,8.753851435432651,-0.1984350020062919,0.9498658082371927,-2.778204670134028
30,1.5,0.8488833821103131,-4.69965935673123,0.5571964404469975,13.12356705480617,8.752830723064054,-0.2050817596689267,0.7232646301628758,-6.136252025693468
31,1.55,0.5450308882032973,-7.454440399549391,0.9946445830983259,13.5610151974575,8.748962853026569,-0.2119219108334356,0.3562297572618632,-8.302845370620787
32,1.6,0.1385356942422186,-8.805367358893745,1.431895945907497,13.99826656026667,8.745027256183413,-0.2189588418401005,-0.07997296780998368,-8.857305058869194
33,1.65,-0.2940491724462496,-8.498027308644984,1.869088256157172,14.43545887051635,8.743846204993481,-0.2260548254062638,-0.5006476290343256,-7.691973644732211
34,1.7,-0.6712573596139997,-6.590300178065024,2.306401541940751,14.87277215629992,8.746265715671548,-0.2330298334385219,-0.824113338763718,-5.033119342304619
