step,time,au,av,phase,phase_unwrapped,omega_inst,phase_drift,au_exact,av_exact
0,0,1,0,-0,-0,0,-0,1,-0
1,0.025,0.9755977651535668,-1.952178787714633,0.2214976611125155,0.2214976611125155,8.859906444500622,-0.0006464857954027736,0.9754272900395919,-1.957726042561388
2,0.05,0.9035820042164194,-3.809082087257133,0.4429704577920953,0.4429704577920953,8.85891186718319,-0.001317836023741303,0.9029167963079644,-3.81923881667118
3,0.07500000000000001,0.7874674063283815,-5.480085743785906,0.6643984802426456,0.6643984802426456,8.857120898022007,-0.002033960481109376,0.786032077468224,-5.493053495357785
4,0.1,0.632920880249792,-6.883636342501237,0.8857702795916501,0.8857702795916501,8.854871973960183,-0.002806308040023131,0.6305174821100763,-6.896909753367526
5,0.125,0.4474849903877227,-7.951234846464303,1.107085390313511,1.107085390313511,8.852604428874436,-0.003635344226080583,0.4440158403262133,-7.961814485392047
6,0.15,0.2402098331144749,-8.630777735395519,1.328354225971136,1.328354225971136,8.85075342630498,-0.004510655476374303,0.2356928536180243,-8.63543250120034
7,0.175,0.02121136360491321,-8.88909982536941,1.54959609544958,1.54959609544958,8.849674779137786,-0.0054129329058481,0.0157866426464421,-8.884658560539277
8,0.2,-0.1988223148814271,-8.713594453537816,1.770835514505785,1.770835514505785,8.849576762248212,-0.006317660757561017,-0.2048954095071392,-8.697244344067439
9,0.225,-0.4091525771672593,-8.112826529328759,1.992097464726446,1.992097464726446,8.850478008826423,-0.00719985744481888,-0.4155077907206447,-8.082400402152464
10,0.25,-0.5995143654162016,-7.116116530586626,2.21340258545046,2.21340258545046,8.852204828960543,-0.008038883628723514,-0.6056998670788134,-7.070343498505533
11,0.275,-0.7606171759014781,-5.772108308235514,2.434763215860445,2.434763215860445,8.854425216399406,-0.008822400126656582,-0.7661245691234114,-5.710811594640135
12,0.3,-0.8845984705922869,-4.146395267029195,2.656181017280828,2.656181017280828,8.856712056815301,-0.009548745614192278,-0.8888977575067851,-4.070619456867482
13,0.325,-0.9654074092581435,-2.318319826239327,2.877646571951889,2.877646571951889,8.858622186842465,-0.01022733785104935,-0.967985692330816,-2.230375016549232
14,0.35,-0.9991001550217619,-0.3770998348501661,3.099141308384809,3.099141308384809,8.859789457316804,-0.01087674832604746,-0.9995015638279071,-0.2805178594617725
15,0.375,-0.9840323503490822,1.582524208664531,-2.962544364333658,3.320640942845928,8.859985378444767,-0.01152126077284654,-0.9818965112591632,1.68312546562422
16,0.4,-0.9209393728013052,3.464913995157616,-2.741065022337747,3.54212028484184,8.859173679836456,-0.01218606568485336,-0.9160357423258035,3.564050882922695
17,0.425,-0.8129004403261446,5.178200602855216,-2.519627238659733,3.763558068519853,8.857511347120532,-0.01289242891475828,-0.8051560121733656,5.26981952296078
18,0.45,-0.6651883358748206,6.638767753250698,-2.298244279155572,3.984941028024015,8.855318380166478,-0.01365361631851503,-0.6547065517008979,6.716600669636041
19,0.475,-0.4850120700253622,7.775333514705974,-2.076918783675244,4.206266523504342,8.853019819213099,-0.01447226774610577,-0.47208126282018,7.833291655961604
20,0.5,-0.2811650485612019,8.532428202426848,-1.855642349779306,4.42754295740028,8.85105735583751,-0.01533998075808629,-0.2662553420414157,8.565012234492707
21,0.525,-0.06359591742253569,8.873102288666443,-1.634397112253301,4.648788194926285,8.849809501040184,-0.01623889014000035,-0.04734419067186452,8.875801690132741
22,0.55,0.157076978792233,8.780729408515054,-1.413159211421408,4.870026095758178,8.849516033275712,-0.01714513621602531,0.1738937108290657,8.750386144577311
23,0.5750000000000001,0.3700838168380213,8.259817635148009,-1.191903375539464,5.091281931640122,8.850233435277765,-0.01803344724199984,0.3865855328897134,8.194929197477338
24,0.6000000000000001,0.5650289116211514,7.33578994750241,-0.970607786505581,5.312577520674004,8.851823561355296,-0.01888200511603522,0.5802784466011828,7.236729013745984
25,0.625,0.7323980722518252,6.053742902951496,-0.749258264583177,5.533927042596408,8.853980876896191,-0.01967663010154919,0.7454533323834382,5.922876743780934
