step,time,au,av,phase,phase_unwrapped,omega_inst,phase_drift
0,0,1,0,-0,-0,0,-0
1,0.01,0.984257416486202,-3.148516702759583,0.1780929136104674,0.1780929136104674,17.80929136104674,0.0003775960841327364
2,0.02,0.9375253614169538,-6.197894311090079,0.3561329312136794,0.3561329312136794,17.8040017603212,0.0007022961610100853
3,0.03,0.861275228440112,-9.052132284278267,0.5340747504463546,0.5340747504463546,17.79418192326752,0.0009287978673506725
4,0.04,0.7579077259837238,-11.62136820699935,0.7118850988759036,0.7118850988759036,17.7810348429549,0.00102382877056495
5,0.05,0.6306773819652502,-13.82470059669537,0.889546703273037,0.889546703273037,17.76616043971334,0.0009701156413637335
6,0.06,0.4835900902365337,-15.59275774904794,1.067061369132288,1.067061369132288,17.7514665859251,0.0007694639742801268
7,0.07000000000000001,0.3212769100173131,-16.86987829479616,1.244449325288134,1.244449325288134,17.73879561558456,0.0004421026037910725
8,0.08,0.148848273034486,-17.61584910176925,1.421746244661673,1.421746244661673,17.72969193735391,2.370445099542096e-05
9,0.09,-0.02826687341330904,-17.80718018778976,1.598999132504307,1.598999132504307,17.72528878426346,-0.0004387252327044955
10,0.1,-0.2044920262995407,-17.43785038945656,1.776260473519066,1.776260473519066,17.72613410147584,-0.0008927017442807994
11,0.11,-0.3742787219995016,-16.51948875053563,1.953581661600626,1.953581661600626,17.73211880815602,-0.00128683118905526
12,0.12,-0.5322812067584829,-15.08100820126063,2.131006747976347,2.131006747976347,17.7425086375721,-0.0015770623396687
13,0.13,-0.6735247465731169,-13.16769976166618,2.308566905999142,2.308566905999142,17.75601580227953,-0.001732221843208315
14,0.14,-0.7935622702972889,-10.83980498316822,2.486276502491097,2.486276502491097,17.77095964919545,-0.001737942877588328
15,0.15,-0.8886143840783677,-8.170617773047534,2.664131283295826,2.664131283295826,17.78547808047292,-0.001598479599193681
16,0.16,-0.9556883595851934,-5.244177328317584,2.84210881171265,2.84210881171265,17.79775284168242,-0.001336268708704402
17,0.17,-0.9926723609980105,-2.152622954245869,3.020171177183245,3.020171177183245,17.80623654705947,-0.0009892207644441875
18,0.18,-0.9984019427772485,1.006706598398345,-3.084915600560026,3.19826970661956,17.80985294363159,-0.000606008854462825
19,0.19,-0.9726967116478749,4.134339627476374,-2.906834107635213,3.376351199544374,17.80814929248134,-0.0002398334559843285
20,0.2,-0.9163659980772089,7.131803086656844,-2.728820658607106,3.55436464857248,17.80134490281061,5.829804578727504e-05
21,0.21,-0.8311833792155425,9.904720685676388,-2.550917743870547,3.73226756330904,17.79029147365597,0.0002458952560120409
22,0.22,-0.719830844512496,12.36578625493293,-2.373153896535696,3.910031410643891,17.77638473348511,0.0002944250645287028
23,0.23,-0.5858143437543841,14.43751389668946,-2.19554011949878,4.087645187680807,17.7613777036916,0.0001928845751102415
24,0.24,-0.4333534002681851,16.05467480055032,-2.018068713940133,4.265116593239453,17.74714055586463,-5.102739257800692e-05
25,0.25,-0.2672482679245006,17.16635166818658,-1.840714273580887,4.442471033598699,17.7354440359246,-0.0004119045596668869
26,0.26,-0.0927287903678234,17.73754384314887,-1.663436865050533,4.619748442129053,17.72774085303535,-0.0008498135556482822
27,0.27,0.08471026557215139,17.75026734484606,-1.486187058362028,4.796998248817558,17.7249806688505,-0.001315324393477368
28,0.28,0.2594822077444497,17.2041210896136,-1.308912016885359,4.974273290294227,17.72750414766689,-0.001755600443143379
29,0.29,0.4260843182669521,16.11630101488688,-1.131562019311112,5.151623287868475,17.73499975742484,-0.00212092039522993
30,0.3,0.5792711093997849,14.52105721167968,-0.9540965998924759,5.32908870728711,17.74654194186354,-0.002370818502928529
31,0.31,0.7142194740682152,12.46861572200637,-0.7764895771989692,5.506695729980617,17.76070226935066,-0.0024791133357569
32,0.32,0.826680544775831,10.02359841951679,-0.5987324136376889,5.684452893541897,17.77571635612797,-0.002437267300812174
33,0.33,0.9131134715783099,7.262986940979029,-0.4208353199692266,5.862349987210359,17.78970936684619,-0.002255491158684286
34,0.34,0.9707969017426339,4.273699091885731,-0.2428260569888767,6.040359250190709,17.80092629803497,-0.001961545704669554
35,0.35,0.9979146643771694,1.149853435021368,-0.06474656830148014,6.218438738878105,17.80794886873965,-0.001597374543607977
36,0.36,0.9936129545443475,-2.010195401585871,0.113352348803238,6.396537655982823,17.80989171047186,-0.001213774965223458
37,0.37,0.958027211351171,-5.106953237049456,0.2914174542043774,6.574602761383963,17.80651054011394,-0.0008639870904190161
38,0.38,0.8922778561054848,-8.042917812087774,0.4693997448063212,6.752585051985906,17.79822906019433,-0.000597014014810604
39,0.39,0.798435017021021,-10.72565000480496,0.6472607103455889,6.930446017525174,17.78609655392679,-0.0004513660018776733
40,0.4,0.6794533470731628,-13.07068398476669,0.8249771285025046,7.10816243568209,17.77164181569154,-0.0004502653712963323
41,0.41,0.5390789994323679,-15.00418554339231,1.00254386900909,7.285729176188675,17.75667405065854,-0.0005988423910459062
42,0.42,0.3817316802994175,-16.46527828319774,1.179974511914301,7.463159819093886,17.74306429052119,-0.0008835170121690439
43,0.43,0.2123654892130212,-17.40795993408151,1.357299547683585,7.64048485486317,17.7325035769284,-0.00127379876921907
44,0.44,0.03631294230171389,-17.80254944817995,1.534562518491933,7.817747825671518,17.72629708083472,-0.001726145487206843
45,0.45,-0.1408829211079594,-17.6366232337547,1.711814642081465,7.99499994926105,17.72521235895324,-0.00218933942400934
46,0.46,-0.3136430675681626,-16.91540605828594,1.88910846455512,8.172293771734704,17.72938224736541,-0.002610834476689305
47,0.47,-0.4765281223436861,-15.66160489681878,2.066491398937087,8.349676706116671,17.73829343819669,-0.002943217621057315
48,0.48,-0.6244096258974168,-13.91469581392734,2.243999842492405,8.52718514967199,17.75084435553191,-0.003150091592072357
49,0.49,-0.7526315108578259,-11.72968117815449,2.421654597372677,8.704839904552262,17.76547548802723,-0.003210654238134936
50,0.5,-0.857156696156425,-9.175355881565331,2.599458280311824,8.882643587491408,17.78036829391459,-0.003122288825323949
51,0.51,-0.9346941902627772,-6.332142939705123,2.77739486174016,9.060580168919744,17.79365814283354,-0.002901024923323448
52,0.52,-0.9828027151959497,-3.289562046929371,2.955431551773272,9.238616858952856,17.80366900331119,-0.002579652416546452
53,0.53,-0.9999675699121383,-0.1434088963083634,3.133522981476347,9.416708288655929,17.80914297030732,-0.002203540239808177
54,0.54,-0.9856483150752994,3.007259863676187,-2.971568446732884,9.594802167626284,17.80938789703546,-0.001824978795786691
55,0.55,-0.9402957939153487,6.063244368313935,-2.793524775181644,9.772845839177524,17.804367155124,-0.001496624770881638
56,0.5600000000000001,-0.8653379383106059,8.928326752634602,-2.615577568583143,9.950793045776026,17.79472065985014,-0.001264735698715214
57,0.5700000000000001,-0.7631348048058791,11.51229994831077,-2.437760899352958,10.12860971500621,17.7816669230184,-0.001163383994866152
58,0.58,-0.6369042716804821,13.7338066767686,-2.260092465194699,10.30627814916447,17.76684341582602,-0.001210267362941053
59,0.59,-0.4906207254206864,15.52290257519058,-2.082571371898638,10.48379924246053,17.7521093296061,-0.001404491593214985
60,0.6,-0.3288899218677231,16.82325813540205,-1.905178355811874,10.66119225854729,17.73930160867641,-0.001726793032784002
61,0.61,-0.1568039756538027,17.59393110738202,-1.727878282736918,10.83849233162225,17.73000730749564,-0.002142037484162529
62,0.62,0.02021896365875443,17.8106567551294,-1.550624514940284,11.01574609941889,17.72537677966353,-0.002603587213862113
63,0.63,0.1966053061568946,17.46661174449863,-1.373364704323624,11.19300591003555,17.72598106166593,-0.003059094123537776
64,0.64,0.3668015053368341,16.57262809148926,-1.1960472473274,11.37032336703177,17.73174569962242,-0.003456954653648481
65,0.65,0.5254489109469199,15.1568530305279,-1.018627654365642,11.54774295999353,17.74195929617582,-0.003752679218225197
66,0.66,0.6675524892700057,13.26386263408925,-0.8410740795265128,11.72529653483266,17.75535748391287,-0.003914421905429677
67,0.67,0.7886380907688685,10.95325766568333,-0.6633713021845958,11.90299931217457,17.77027773419169,-0.003926962089847663
68,0.68,0.8848933187158871,8.297787923720371,-0.4855227285810853,12.08084788577808,17.78485736035103,-0.00379370601267226
69,0.6900000000000001,0.9532875654660218,5.381061426306569,-0.3075500484691497,12.25882056589002,17.79726801119351,-0.003536343427072097
70,0.7000000000000001,0.9916674294717369,2.294911374836471,-0.1294905504782941,12.43688006388087,17.80594979908548,-0.003192162962552203
71,0.71,0.9988245148042061,-0.8634943083424449,0.04860749068598424,12.61497810504515,17.80980411642794,-0.002809439324607865
72,0.72,0.9745334802861765,-3.994712595263554,0.2266909145499698,12.79306152890914,17.80834238639846,-0.002441332986956368
73,0.73,0.9195591324920144,-7.000156963568821,0.4047084386782634,12.97107905303743,17.80175241282932,-0.002139126384998136
74,0.74,0.8356323450942172,-9.785200515990589,0.5826170932351834,13.14898770759435,17.79086545569191,-0.001945789354413918
75,0.75,0.7253955646159707,-12.26215557965874,0.7603876330173582,13.32675824737652,17.7770539782175,-0.001890567098573825
76,0.76,0.5923196107271443,-14.3530351981065,0.9380081837028148,13.50437879806198,17.76205506854572,-0.00198533393945155
77,0.77,0.4405943963025402,-15.99200768681433,1.115485608073114,13.68185622243228,17.74774243702984,-0.002223227095488056
78,0.78,0.2749970100358572,-17.12746956652227,1.292844579185923,13.85921519354509,17.73589711128077,-0.002579573509015276
79,0.79,0.1007413074945883,-17.72367094173153,1.470124460204443,14.03649507456361,17.72798810185189,-0.003015010016829578
80,0.8,-0.07668624865083798,-17.76184028735371,1.647374376509201,14.21374499086837,17.72499163047579,-0.003480411238406589
81,0.8100000000000001,-0.2516993282832004,-17.24077563911877,1.824647151273852,14.39101776563302,17.72727747646508,-0.003922954000090684
82,0.8200000000000001,-0.4187876215067473,-16.1768830055906,2.001992787193125,14.56836340155229,17.73456359192734,-0.004292635607152206
83,0.8300000000000001,-0.5726903321596681,-14.60365912499359,2.179452290878677,14.74582290523784,17.74595036855507,-0.00454844944793642
84,0.84,-0.7085618129192218,-12.57063702691714,2.357052569115725,14.92342318347489,17.76002782370494,-0.00466348873722211
85,0.85,-0.8221241325261445,-10.14182689446741,2.534803008697675,15.10117362305684,17.7750439581949,-0.004628366681606266
86,0.86,-0.9098017670276262,-7.393700005828937,2.712694245494238,15.2790648598534,17.78912367965616,-0.004452447411379623
87,0.87,-0.9688341740765047,-4.412781403946775,2.890699240678111,15.45706985503727,17.80049951838726,-0.004162769753841999
88,0.88,-0.9973627109063902,-1.292925962030304,3.068776598366596,15.63514721272576,17.8077357688485,-0.003800729591691976
89,0.89,-0.9944891533587787,1.867637471552859,-3.036309508161422,15.81324641337732,17.80992006515677,-0.003416846466459234
90,0.9,-0.9603039747833034,4.969398243542201,-2.858241755049233,15.99131416648951,17.8067753112188,-0.003064410880606161
91,0.91,-0.8958835003135344,7.914696650411595,-2.680254783330837,16.16930113820791,17.79869717183969,-0.002792756688542397
92,0.92,-0.8032560178613796,10.61079984001938,-2.502387686905515,16.34716823463323,17.786709642532,-0.002640977789557297
93,0.93,-0.6853379145481845,12.97282082261959,-2.324664466814664,16.52489145472408,17.77232200908506,-0.002633075225041637
94,0.9400000000000001,-0.5458418574064132,14.92639060573469,-2.147091101897364,16.70246481964138,17.75733649173004,-0.002775027834076127
95,0.9500000000000001,-0.3891598992016893,16.41000103521009,-1.969654834433764,16.87990108710498,17.74362674636015,-0.003054077896809559
96,0.96,-0.2202251904697075,17.37694071118626,-1.792325875165196,17.05723004637355,17.73289592685697,-0.003440436154573234
97,0.97,-0.04435666246478531,17.79676488979817,-1.615061165018221,17.23449475652053,17.72647101469749,-0.003891043533933214
98,0.98,0.1329084397707728,17.65625555731346,-1.437809700845183,17.41174622069357,17.72514641730395,-0.004354896887228676
99,0.99,0.3059889028209548,16.95983705272293,-1.260518854657623,17.58903706688113,17.729084618756,-0.004779368226003555
100,1,0.4694352662412997,15.72943563134605,-1.083140846216038,17.76641507532271,17.7378008441586,-0.005116677310752493
101,1.01,0.6181013981180026,14.00379074399452,-0.9056386721904348,17.94391724934831,17.75021740256014,-0.00532982081148603
102,1.02,0.7473065270627273,11.83723504495039,-0.7279907451459714,18.12156517639278,17.76479270444645,-0.005397211293356463
103,1.03,0.852982613652231,9.297982272950378,-0.550193595923308,18.29936232561544,17.77971492226625,-0.00531537959702888
104,1.04,0.9318024305337529,6.465981103354004,-0.3722624444628118,18.47729347707594,17.79311514604947,-0.005099545662869076
105,1.05,0.9812843262113421,3.430398032163854,-0.1942293875995857,18.65532653393916,17.80330568632243,-0.004781806325979687
106,1.06,0.9998703580370748,0.2868083329826778,-0.01613932991891246,18.83341659161983,17.80900576806735,-0.004407066171641105
107,1.07,0.9869753407529989,-2.865811789797884,0.1619555976812699,19.01151151922002,17.80949276001812,-0.004027456097791315
108,1.08,0.9430052761315567,-5.928201134490537,0.3400026112754577,19.1895585328142,17.80470135941881,-0.0036957600299381
