step,time,au,av,phase,phase_unwrapped,omega_inst,phase_drift,au_exact,av_exact
0,0,1,0,-0,-0,0,-0,1,-0
1,0.2,-0.520785058361537,-15.20785058361534,2.117498593532026,2.117498593532026,10.58749296766013,-1.436807756994667,-0.9160357423258035,7.128101765845391
2,0.4,-0.4575658362123289,15.84004280510737,-2.04507479282575,4.238110514353836,10.60305960410905,-2.87050218669955,0.6782429624367717,-13.05919198490011
3,0.6000000000000001,0.9973719305545076,-1.290665137438998,0.07268850711890945,6.355873814298495,10.58881649972329,-4.307045237281584,-0.3265538488202366,16.79727148228092
4,0.8,-0.5812669232638069,-14.49572340074412,2.189944769407524,8.473130076587109,10.58628131144307,-5.744095325519663,-0.07997296780998368,-17.71461011773839
5,1,-0.3919417010331203,16.38897562305093,-1.972671612409459,10.59369900194971,10.60284462681302,-7.177832750683752,0.4730700426878686,15.65716057614843
6,1.2,0.989501691763081,-2.574541695088899,0.1453730784785239,12.7117436928377,10.59022345443991,-8.614094410322462,-0.7867251676413801,-10.97042730443447
7,1.4,-0.6386936829951989,-13.70741205249388,2.262414625428678,14.82878523978785,10.58520773475078,-10.051359213899,0.9682667032056582,4.441446462749336
8,1.6,-0.324257439906269,16.85177448338314,-1.900286359692716,16.94926956184604,10.60242161029097,-11.4851812423675,-0.9872086488393266,2.833379889424607
9,1.8,0.9764305257113576,-3.844894827206844,0.2180508793108979,19.06760680084966,10.59168619501808,-12.92115035389058,0.8403701117343136,-9.632400963349539
10,2,-0.6927633882273954,-12.84704431218065,2.334909570709991,21.18446549224875,10.58429345699546,-14.35859801301818,-0.5524094694225964,14.81386724425871
11,2.2,-0.2548689028630077,17.22598916582448,-1.827916748470186,23.30482448024816,10.60179493999704,-15.79254537554546,0.1716835250463464,-17.50766279227136
12,2.4,0.9582272197216638,-5.095027939977739,0.2907173862905224,25.42345861500887,10.59317067380353,-17.22821759131145,0.2378729788007153,17.26142252035756
13,2.6,-0.7431919169625797,-11.91916342686468,2.407429289479107,27.54017051819745,10.58355951594293,-18.66581203864956,-0.6074838264762729,-14.11649719179878
14,2.8,-0.184140741598643,17.509675180504,-1.755559334694528,29.6603672012034,10.60098341502974,-20.0999217061703,0.8750808170735085,8.601009447901463
15,3,0.9349874059750548,-6.318393704766986,0.3633706776976678,31.7792972135956,10.59465006196099,-21.5352980443048,-0.9957267852497296,-1.641166956920665
16,3.2,-0.7897141811995736,-10.92862216697927,2.479974637195415,33.89590117309334,10.58301979748872,-22.97300043533374,0.9491618326863378,-5.594274264574774
17,3.4,-0.1124447281108425,17.70131669786653,-1.683211146530171,36.01590069654734,10.59999761726998,-24.40730726240644,-0.7432055427345685,11.89027731436844
18,3.6,0.9068332437804987,-7.508536978953096,0.436006508572537,38.13511835165005,10.59608827551356,-25.84239595783043,0.4124438493926857,-16.18956374767953
19,3.8,-0.8320856563668884,-9.880652022520749,2.552543903189302,40.25165574626681,10.58268697308381,-27.28016491374036,-0.01242107275771249,17.77016077670461
20,4,-0.04015771134520115,17.79993147273757,-1.610868503859771,42.37142864639733,10.59886450065258,-28.71469836413653,-0.3896875561844912,-16.36664108899546
21,4.2,0.8739127325790456,-8.659227033495075,0.5086235989418227,44.49092074919892,10.59746051400796,-30.14951261186164,0.7263565323669013,12.2146956619712
22,4.4,-0.8700836632258996,-8.780736924554381,2.625137060086168,46.60743421034326,10.58256730572171,-31.58730550124398,-0.9410495344553211,-6.011554526999814
23,4.600000000000001,0.03234039893791529,17.80497754619249,-1.538527882273218,48.72695457516346,10.59760182410098,-33.02209148695049,0.9977134853533658,-1.201098034626788
24,4.800000000000001,0.8363988630950406,-9.764392904621198,0.5812186768713973,50.84670113430808,10.59873279572307,-34.45665127833256,-0.8868328919129489,8.21205198651041
25,5,-0.9035084350345582,-7.634680076674783,2.697751399575658,52.96323385701234,10.58266361352136,-35.89442490615498,0.6270277675714727,-13.84396824033555
26,5.2,0.1046684962349446,17.71644938936977,-1.46618568094081,55.08248208367546,10.59624113331558,-37.32948303001857,-0.2619268011394911,17.15108746103098
27,5.4,0.794488867652293,-10.81824567519625,0.6537909851835711,57.20245874979984,10.59988333062189,-38.76381271442087,-0.1471591441377867,-17.57805002778494
28,5.600000000000001,-0.9321843511999333,-6.448486513326006,2.770385780571035,59.3190535451873,10.58297397693731,-40.20152426956011,0.5315328728200787,15.05315675065316
29,5.800000000000001,0.1764464859475316,17.53479488480061,-1.393838174306815,61.43801489748904,10.59480676150868,-41.63686926778506,-0.8266470753108169,-10.00040920907765
30,6,0.7484029580689058,-11.81523016358683,0.7263386216008078,63.55819169339667,10.60088397953816,-43.07099882240412,0.9829436617275223,3.26830779614539
31,6.2,-0.9559606169233565,-5.2284055863358,2.843036912471232,65.67488998426708,10.58349145435208,-44.50860688206041,-0.9741759783592132,4.01263569269538
32,6.4,0.2472970236038181,17.2609819916075,-1.321482029759852,67.79355634921558,10.59333182474247,-45.9442468676386,0.8018163692569751,-10.61974322702761
33,6.600000000000001,0.6983834422365094,-12.75011780528056,0.7988613646381189,69.91389974361354,10.60171697198981,-47.37820982376734,-0.4948089276833657,15.44349304786412
34,6.800000000000001,-0.9747123426429842,-3.980840043514392,2.915702476767082,72.03074085574251,10.58420556064482,-48.81567506216506,0.1047089575027691,-17.67384000937945
35,7,0.3168477961652668,16.89644143159686,-1.249113766138056,74.14910992001695,10.59184532137227,-50.2516123484173,0.302974632454945,16.93624525761474
