step,time,au,av,phase,phase_unwrapped,omega_inst,phase_drift
0,0,1,0,-0,-0,0,-0
1,0.01,0.9831069357651351,-3.378612846972894,0.1910226846745353,0.1910226846745353,19.10226846745353,0.01330736714820061
2,0.02,0.9330008824847773,-6.642597809098723,0.3810394856136439,0.3810394856136439,19.00168009391087,0.02560885056097462
3,0.03,0.8513807801070251,-9.681422666451773,0.5692196313903302,0.5692196313903302,18.81801457766863,0.03607367881132628
4,0.04,0.7410111513725459,-12.39250308044409,0.7550335783602549,0.7550335783602549,18.58139469699247,0.04417230825491625
5,0.05,0.6056254932921867,-14.68462853562777,0.9383059318324024,0.9383059318324024,18.32723534721475,0.04972934420072916
6,0.06,0.4497979952045394,-16.48087108190161,1.119202053156331,1.119202053156331,18.08961213239284,0.05291014799832294
7,0.07000000000000001,0.2787888092105708,-17.72096611689201,1.298173129756973,1.298173129756973,17.89710766006417,0.05416590707262992
8,0.08,0.09836803401795066,-18.36318892163191,1.475883719638968,1.475883719638968,17.77105898819951,0.05416117942829035
9,0.09,-0.0853765702621289,-18.38573193438401,1.653134200985432,1.653134200985432,17.72504813464649,0.05369634324842076
10,0.1,-0.2662429174187088,-17.78753749693198,1.830779331955341,1.830779331955341,17.76451309699088,0.05362615669199489
11,0.11,-0.4381230895082824,-16.58849692098276,2.009639870669715,2.009639870669715,17.88605387143737,0.05477137788003383
12,0.12,-0.5952101847919069,-14.82892213574218,2.190407400261544,2.190407400261544,18.0767529591829,0.05782358994552839
13,0.13,-0.7321960022239412,-12.56824135066469,2.373549851403065,2.373549851403065,18.3142451141521,0.06325072356071448
14,0.14,-0.8444519518490983,-9.882948574366724,2.559232491655932,2.559232491655932,18.56826402528664,0.07121804628724648
15,0.15,-0.9281862712950708,-6.863915314827758,2.747272875173614,2.747272875173614,18.80403835176824,0.08154311227859434
16,0.16,-0.9805719494682392,-3.613220319805947,2.937146251850507,2.937146251850507,18.9873376676893,0.09370117142915246
17,0.17,-0.999841337341667,-0.240657254880184,3.128049604415598,3.128049604415598,19.09033525650908,0.1068892064679088
18,0.18,-0.9853448822012881,3.139948282955892,-2.964166198244758,3.319019108934829,19.09695045192311,0.1201433934608054
19,0.19,-0.9375725607801919,6.414516001263328,-2.774104337795213,3.509080969384373,19.00618604495439,0.1324899363840144
20,0.2,-0.8581374681672048,9.472502521334084,-2.585780587996783,3.697404719182803,18.83237497984299,0.1430983686561098
21,0.21,-0.7497218751863254,12.21061607484185,-2.399758826017702,3.883426481161884,18.60217619790817,0.1514048131088566
22,0.22,-0.6159871255888731,14.53633384464869,-2.216266270523547,4.066919036656039,18.34925554941552,0.1571820510766773
23,0.23,-0.4614500718367431,16.37107690577734,-2.035183315503484,4.248001991676102,18.10829550200619,0.1605496885704047
24,0.24,-0.291330198405283,17.65289778051468,-1.85608404583508,4.427101261344506,17.90992696684052,0.1619336407124754
25,0.25,-0.1113728791994774,18.33856606064634,-1.678309347289461,4.604875959890125,17.7774698545618,0.1619930217317584
26,0.26,0.07234488524505549,18.40498682826009,-1.501054669844766,4.78213063733482,17.72546774446953,0.1615323816501189
27,0.27,0.2536194875212261,17.84993362697392,-1.323460920778964,4.959724386400621,17.75937490658011,0.1614108131895859
28,0.28,0.4263296808516053,16.69210503910187,-1.144704641180136,5.13848066599945,17.87562795988283,0.1624517752620793
29,0.29,0.5846427967170725,14.97051813399165,-0.9640879010073218,5.319097406172264,18.06167401728151,0.1653531979085594
30,0.3,0.7232116136336029,12.74324524931454,-0.7811266758359934,5.502058631343592,18.29612251713282,0.1705991055535536
31,0.31,0.8373553497425843,10.08550197248194,-0.5956293498595969,5.687555957319989,18.54973259763966,0.1783811140036153
32,0.32,0.9232184469710264,7.087117473206598,-0.4077483162569406,5.875436990922646,18.78810336026564,0.1885468300799369
33,0.33,0.9779013466717908,3.849462466946358,-0.2179837426473182,6.065201564532268,18.97645736096221,0.200596086163225
34,0.34,0.999558455914764,0.4819593816483368,-0.02712506873428518,6.256060238445301,19.08586739130332,0.2137394425499233
35,0.35,0.9874599161594214,-2.901667332717058,0.1638669839512197,6.447052291130806,19.09920526855043,0.2270161777090927
36,0.36,0.9420153839541193,-6.187239108343466,0.3540146220768942,6.637199929256481,19.01476381256755,0.239448498308434
37,0.37,0.8647595302873911,-9.263931625002238,0.5424776932363607,6.825663000415947,18.84630711594662,0.2501962519415653
38,0.38,0.7583001692626806,-12.02794057993981,0.7286754541394873,7.011860761319073,18.61977609031261,0.2586786953183564
39,0.39,0.6262308370689629,-14.38592585880363,0.9123559017442053,7.195541208923791,18.36804476047174,0.2646438253967389
40,0.4,0.4730104306102526,-16.2581554329383,1.093609676376111,7.376794983555697,18.12537746319059,0.2681822825023108
