step,time,au,av,phase,phase_unwrapped,omega_inst,phase_drift,au_exact,av_exact
0,0,1,0,-0,-0,0,-0,1,-0
1,0.1,0.6699660148975525,-6.600679702048911,0.8369318132046366,0.8369318132046366,8.369318132046365,-0.05164477442703663,0.6305174821100763,-6.896909753367526
2,0.2,-0.1022910715339377,-8.844462026580874,1.67320558081903,1.67320558081903,8.362737676143936,-0.1039475944443162,-0.2048954095071392,-8.697244344067439
3,0.3,-0.8070291013822153,-5.250298570384696,2.509613901248438,2.509613901248438,8.36408320429407,-0.1561158616465823,-0.8888977575067851,-4.070619456867482
4,0.4,-0.9790730712544575,1.809419172939813,-2.936532415881872,3.346652891297714,8.370389900492771,-0.2076534592289785,-0.9160357423258035,3.564050882922695
5,0.5,-0.5048622716672275,7.674796818804758,-2.099757232162445,4.183428075017141,8.367751837194268,-0.259454863141225,-0.2662553420414157,8.565012234492707
6,0.6000000000000001,0.3025919416857643,8.474287448255071,-1.263558465125818,5.019626842053768,8.361987670366259,-0.3118326837362719,0.5802784466011828,7.236729013745984
7,0.7000000000000001,0.9103149071647156,3.680171861323983,-0.4269782607368567,5.856207046442729,8.365802043889616,-0.3638290669789841,0.9980067521888636,0.5607560784273974
8,0.8,0.9171681629799033,-3.543106745020193,0.4101005967804512,6.693285903960037,8.37078857517308,-0.415326797093349,0.6782429624367717,-6.529595992450053
9,0.9,0.3186280953547762,-8.427694607482321,1.246695752967451,7.529881060147037,8.365951561870004,-0.4673082285380223,-0.1427186623198391,-8.794804927138708
10,1,-0.490228172177434,-7.749430743161884,2.082891462181294,8.36607676936088,8.361957092138434,-0.5196891069558518,-0.8582161856688175,-4.56096052416753
11,1.1,-0.9755005257479685,-1.956016328248839,2.919652318582056,9.202837625761642,8.367608564007611,-0.5715048381867636,-0.9395219546681945,3.04327423573558
12,1.2,-0.8168762327220418,5.128502188767334,-2.526488008369628,10.03988260598955,8.370449802279023,-0.6230364455905342,-0.3265538488202366,8.39863574114046
13,1.3,-0.1190581043737524,8.827860378198428,-1.690066589027103,10.87630402533207,8.364214193425259,-0.675191613879683,0.5277261336052146,7.547699085591569
14,1.4,0.657346463052717,6.700230970330968,-0.8538014865108566,11.71256912784832,8.362651025162464,-0.7275030989951095,0.9920349548291275,1.119276705202981
15,1.5,0.9998576892023873,0.149993552662475,-0.01688100422510147,12.54948961013407,8.369204822857565,-0.7791592043410258,0.7232646301628758,-6.136252025693468
16,1.6,0.6823948821600245,-6.499249693509696,0.8200617950511883,13.38643240941036,8.369427992762894,-0.8307929926964093,-0.07997296780998368,-8.857305058869194
17,1.7,-0.08549492534477542,-8.858546456586286,1.65634464184811,14.22271525620728,8.362828467969205,-0.8830867335311616,-0.824113338763718,-5.033119342304619
18,1.8,-0.7969522728418194,-5.37060049335461,2.492740130190925,15.0591107445501,8.363954883428175,-0.9352678328200188,-0.9592627668512714,2.510365589130332
19,1.9,-0.9823669530177058,1.662306889836846,-2.953412663927508,15.89614325761125,8.370325130611526,-0.986811907390539,-0.3855505501102993,8.198778123173089
20,2,-0.5193526775529334,7.597978619458567,-2.116623292695466,16.73293262884329,8.367893712320413,-1.038599123790171,0.4730700426878686,7.828580288074217
21,2.1,0.2864696645842466,8.518468223285021,-1.280420976433472,17.56913494510529,8.362023162619955,-1.09097339515985,0.9821084144648236,1.673335340293161
22,2.2,0.9032025570027382,3.816189625084838,-0.4438556772493554,18.40570024428941,8.365652991841152,-1.142984683607406,0.76540300660709,-5.718445917099296
23,2.3,0.9237603750922017,-3.405033263295534,0.3932226903020755,19.24277861184084,8.370783675514303,-1.19448290368765,-0.01690846141405627,-8.884495582757364
24,2.4,0.3345735606428102,-8.378703025692268,1.229832833128334,20.0793887546671,8.366101428262589,-1.246449348493062,-0.7867251676413801,-5.485213652217234
