step,time,au,av,phase,phase_unwrapped,omega_inst,phase_drift
0,0,1,0,-0,-0,0,-0
1,0.001,0.9999900833696939,-0.01983326061292241,0.004464066648514246,0.004464066648514246,4.464066648514246,2.118371035587929e-05
2,0.002,0.9999603336760498,-0.03966612667486429,0.00892813218399527,0.00892813218399527,4.464065535481025,4.236630767853744e-05
3,0.003,0.9999107515108874,-0.05949820364860826,0.01339219549484669,0.01339219549484669,4.464063310851416,6.354668037158832e-05
4,0.004,0.9998413378605501,-0.07932909702442961,0.01785625547233786,0.01785625547233786,4.464059977491178,8.47237197043986e-05
5,0.005,0.9997520941058707,-0.09915841233375852,0.02232031101201699,0.02232031101201699,4.464055539679125,0.0001058963212251587
6,0.006,0.9996430220221222,-0.1189857551627419,0.02678436101510057,0.02678436101510057,4.464050003083575,0.0001270633861503688
7,0.007,0.9995141237789575,-0.1388107311656731,0.03124840438983171,0.03124840438983171,4.464043374731142,0.000148223822723146
8,0.008,0.9993654019403351,-0.1586329460782558,0.03571244005279964,0.03571244005279964,4.464035662967936,0.0001693765475327125
9,0.009000000000000001,0.99919685946443,-0.1784520057306745,0.0401764669302135,0.0401764669302135,4.464026877413849,0.0001905204867881996
10,0.01,0.9990084997035341,-0.1982675160604392,0.04464048395912314,0.04464048395912314,4.46401702890965,0.0002116545775394801
11,0.011,0.9988003264039407,-0.2180790831249773,0.04910449008858096,0.04910449008858096,4.464006129457815,0.0002327777688389335
12,0.012,0.9985723437058206,-0.2378863131139472,0.05356848428073772,0.05356848428073772,4.463994192156765,0.0002538890228373294
13,0.013,0.9983245561430822,-0.257688812361246,0.05803246551186743,0.05803246551186743,4.463981231129701,0.0002749873158086613
14,0.014,0.9980569686432227,-0.2774861873566917,0.06249643277331538,0.06249643277331538,4.463967261447957,0.0002960716390982554
15,0.015,0.9977695865271649,-0.2972780447573547,0.06696038507236467,0.06696038507236467,4.463952299049289,0.0003171409999891822
16,0.016,0.9974624155090863,-0.317063991398524,0.0714243214330169,0.0714243214330169,4.463936360652228,0.0003381944224830347
