step,time,au,av,phase,phase_unwrapped,omega_inst,phase_drift,au_exact,av_exact
0,0,1,0,-0,-0,0,-0,1,-0
1,0.1,0.9059184265047006,-1.881631469905946,0.4373103545821306,0.4373103545821306,4.373103545821306,-0.006977939233706043,0.9029167963079644,-1.90961940833559
2,0.2,0.6413763914327982,-3.409209231532064,0.8745793576907414,0.8745793576907414,4.372690031086107,-0.01399722994093189,0.6305174821100763,-3.448454876683763
3,0.3,0.2561509561030562,-4.295299475062756,1.31179533280565,1.31179533280565,4.372159751149081,-0.02106954864186039,0.2356928536180243,-4.31771625060017
4,0.4,-0.1772726490047689,-4.373172627093742,1.748984627245638,1.748984627245638,4.371892944399881,-0.02816854801770896,-0.2048954095071392,-4.348622172033719
5,0.5,-0.5773400747622469,-3.628175888055836,2.186192718516594,2.186192718516594,4.37208091270957,-0.03524875056258869,-0.6056998670788134,-3.535171749252767
6,0.6000000000000001,-0.8687733752420824,-2.200490121540911,2.623451614351656,2.623451614351656,4.372588958350608,-0.04227814854336431,-0.8888977575067851,-2.035309728433741
7,0.7000000000000001,-0.9967355436709269,-0.3587532470360201,3.060756875147887,3.060756875147887,4.373052607962316,-0.04926118156296955,-0.9995015638279071,-0.1402589297308862
8,0.8,-0.9371488157428788,1.550487805596938,-2.785114487841483,3.498070819338103,4.373139441902164,-0.05623553118858959,-0.9160357423258035,1.782025441461348
9,0.9,-0.7012252176476625,3.167984156307344,-2.347835799720925,3.935349507458661,4.372786881205576,-0.0632451368838689,-0.6547065517008979,3.35830033481802
10,1,-0.3333568760997126,4.189382674651626,-1.91061098469704,4.372574322482547,4.372248150238859,-0.07030861567581947,-0.2662553420414157,4.282506117246354
11,1.1,0.09723694433584992,4.422493734059617,-1.473420037439681,4.809765269739906,4.371909472573586,-0.0774059622342973,0.1738937108290657,4.375193072288655
12,1.2,0.5095343552325194,3.823454483873789,-1.036218663376418,5.246966643803169,4.372013740632626,-0.0844928819868711,0.5802784466011828,3.618364506872992
13,1.3,0.8259561786048005,2.504981983571867,-0.5989700417225147,5.684215265457071,4.372486216539035,-0.09153255414880501,0.8739926011143385,2.158971104551763
14,1.4,0.9869634882141434,0.7151642086150372,-0.161671237718861,6.121514069460726,4.372988040036537,-0.09852204396098774,0.9980067521888636,0.2803780392136987
15,1.5,0.962260642300596,-1.209221126885936,0.2756446923444857,6.558829999524072,4.373159300633469,-0.1054944077134774,0.9282415176458323,-1.652655022707877
16,1.6,0.7564958058244837,-2.906075602636268,0.7129323935418628,6.996117700721449,4.372877011973767,-0.1124950003319372,0.6782429624367717,-3.264797996225027
17,1.7,0.4083863381535029,-4.056113750783314,1.15016677311444,7.433352080294026,4.372343795725767,-0.1195489145751969,0.2965524078778337,-4.243026871980449
18,1.8,-0.01656638809897101,-4.442940774266155,1.587360984027136,7.870546291206722,4.371942109126967,-0.1266429974783376,-0.1427186623198391,-4.397402463569354
19,1.9,-0.4384019305378632,-3.993770074511698,2.024556979781253,8.307742286960838,4.371959957541161,-0.1337352955400579,-0.5542785625882083,-3.697950216985133
20,2,-0.777746386278548,-2.793119040302025,2.46179543329497,8.744980740474555,4.372384535137168,-0.1407851358421777,-0.8582161856688175,-2.280480262083765
21,2.1,-0.9707476345421232,-1.066905924969529,2.899086579205919,9.182271886385504,4.372911459109488,-0.1477822837470661,-0.9955170552192523,-0.4202176475833019
22,2.2,-0.9810899532649389,0.8600595505131698,-2.946782460585268,9.619588153773902,4.373162673883982,-0.1547543101745035,-0.9395219546681945,1.52163711786779
23,2.3,-0.8068272991037868,2.625193532709825,-2.50948665906779,10.05688395529138,4.372958015174767,-0.1617468024728641,-0.7011032515207527,3.168041070800248
24,2.4,-0.480749481506392,3.89636281923804,-2.072242236224962,10.49412837813421,4.372444228428268,-0.1687906734458728,-0.3265538488202366,4.19931787057023
25,2.5,-0.06421232865423777,4.434380237805033,-1.63504323657388,10.93132737778529,4.371989996510838,-0.1758799676106264,0.1114013415231458,4.415228205947865
26,2.6,0.3644072180071191,4.138010695422111,-1.197851141588019,11.36851947277115,4.371920949858602,-0.1829761664406035,0.5277261336052146,3.773849542795785
27,2.7,0.7244587558327968,3.063020061091469,-0.7606224823018074,11.80574813205736,4.372286592862121,-0.190035800970227,0.8415842382424711,2.399716071911031
28,2.8,0.9481938544945401,1.411681912143437,-0.3233399990859182,12.24303061527325,4.37282483215888,-0.1970416115701763,0.9920349548291275,0.5596383526014905
29,2.9,0.9935138137537577,-0.5052827269590358,0.1139749509088995,12.68034556526807,4.373149499948173,-0.2040149553911945,0.9498658082371927,-1.389102335067014
30,3,0.8518910875290565,-2.327171797534945,0.5512777268121514,13.11764834117132,4.373027759032532,-0.2110004733037787,0.7232646301628758,-3.068126012846734
31,3.1,0.5499738535520802,-3.71117288200455,0.9885324110067231,13.55490302536589,4.37254684194572,-0.218034082925044,0.3562297572618632,-4.151422685310393
32,3.2,0.1445718087251432,-4.396868014534173,1.425737598982065,13.99210821334123,4.372051879753421,-0.2251171887655374,-0.07997296780998368,-4.428652529434597
33,3.3,-0.288033322623162,-4.255234612431932,1.862927372907083,14.42929798726625,4.37189773925018,-0.2322157086563568,-0.5006476290343256,-3.845986822366105
34,3.4,-0.6664411975532109,-3.31292288616907,2.300146866661107,14.86651748102028,4.372194937540229,-0.2392845087181694,-0.824113338763718,-2.51655967115231
35,3.5,-0.9194493997125157,-1.747241157017062,2.737419909079028,15.3037905234382,4.372730424179225,-0.2462997601160843,-0.9875639222280677,-0.6985011696232327
36,3.6,-0.9994511094805206,0.1472069616569159,-3.108453386375011,15.74110253516374,4.373120117255468,-0.2532760422063749,-0.9592627668512714,1.255182794565166
37,3.7,-0.8913929535578627,2.013956156796193,-2.671144943524807,16.17841097801395,4.373084428502022,-0.2602558931720083,-0.7447050062976603,2.965152424922541
38,3.8,-0.6156074944409008,3.501753025543009,-2.233880047672916,16.61567587386584,4.372648958518891,-0.2672792911359565,-0.3855505501102993,4.099389061586544
