step,time,au,av,phase,phase_unwrapped,omega_inst,phase_drift
0,0,1,0,-0,-0,0,-0
1,0.01,0.9960408781681872,-0.7918243663625463,0.08922819696934318,0.08922819696934318,8.922819696934319,0.0003705382061758578
2,0.02,0.9841948823941825,-1.577374788438435,0.1784491398011785,0.1784491398011785,8.922094283183533,0.000733822274843865
3,0.03,0.9645558500745741,-2.350431675483244,0.2676563278292263,0.2676563278292263,8.920718802804782,0.001083351539724386
4,0.04,0.9372793016777321,-3.104878003885117,0.3568440851253514,0.3568440851253514,8.918775729612509,0.001413450072682121
5,0.05,0.9025811985321993,-3.834742625221471,0.446007170533205,0.446007170533205,8.91630854078536,0.001718876717368423
6,0.06,0.8607362612041487,-4.534244840388618,0.5351406890445329,0.5351406890445329,8.913351851132793,0.001994736465529057
7,0.07000000000000001,0.812075823326049,-5.197842735231329,0.6242405557734508,0.6242405557734508,8.909986672891781,0.002236944431279531
8,0.08,0.7569852048280683,-5.820280964364823,0.71330400409781,0.71330400409781,8.906344832435924,0.002442733992471413
9,0.09,0.6959006363555093,-6.396632730146961,0.8023296525761258,0.8023296525761258,8.902564847831577,0.002610723707619944
10,0.1,0.62930579276358,-6.922335988238874,0.8913172691370447,0.8913172691370447,8.898761656091883,0.002740681505371434
11,0.11,0.5577279741705058,-7.393227730375981,0.9802676551343157,0.9802676551343157,8.895038599727105,0.00283340873947513
12,0.12,0.4817339453948958,-7.805578024745994,1.069182740259438,1.069182740259438,8.891508512512196,0.002890835101429845
13,0.13,0.4019254483444983,-8.15612138533351,1.158065641281184,1.158065641281184,8.888290102174638,0.002916077360008762
14,0.14,0.3189344277141692,-8.442082740732303,1.246920536072106,1.246920536072106,8.885489479092172,0.002913313387763239
15,0.15,0.233418022677099,-8.661198266681746,1.335752458852372,1.335752458852372,8.883192278026625,0.002887577404862229
16,0.16,0.1460533670814559,-8.811732852446875,1.424567135978157,1.424567135978157,8.881467712578464,0.002844595767479419
17,0.17,0.05753223087832914,-8.892494388178488,1.513370834862473,1.513370834862473,8.880369888431609,0.002790635888628268
18,0.18,-0.03144445857183571,-8.902843501854468,1.602170169930084,1.602170169930084,8.879933506761168,0.002732312193072683
19,0.19,-0.1201721670574247,-8.842698195263322,1.690971889586576,1.690971889586576,8.880171965649135,0.002676373086396566
20,0.2,-0.2079483295025043,-8.71253429375261,1.77978267614086,1.77978267614086,8.881078655428457,0.002629500877513902
21,0.21,-0.2940779122774737,-8.513382261241263,1.868608935500432,1.868608935500432,8.882625935957138,0.002598101473917813
22,0.22,-0.3778789211826143,-8.246819519786863,1.95745657056948,1.95745657056948,8.884763506904873,0.002588077779799303
