step,time,au,av,phase,phase_unwrapped,omega_inst,phase_drift,au_exact,av_exact
0,0,1,0,-0,-0,0,-0,1,-0
1,0.025,0.9938486212239089,-0.4921103020872649,0.1109912738316426,0.1109912738316426,4.439650953265704,-8.079962231653803e-05,0.9938378363796561,-0.4924661677434661
2,0.05,0.9754701641541127,-0.9781662634964378,0.2219817300265083,0.2219817300265083,4.439618247794629,-0.0001624168814099713,0.9754272900395919,-0.9788630212806941
3,0.07500000000000001,0.9450907343772369,-1.452188118653624,0.3329706107622449,0.3329706107622449,4.439555229429462,-0.0002456095996325458,0.9449952585775825,-1.453196046619851
4,0.1,0.9030840825156954,-1.908344030269665,0.4439572086752654,0.4439572086752654,4.439463916520822,-0.0003310851405711746,0.9029167963079644,-1.90961940833559
5,0.125,0.8499670064557664,-2.341022054524661,0.5549409483298997,0.5549409483298997,4.439349586185371,-0.0004194189398960546,0.8497104919695335,-2.342507995557833
6,0.15,0.786392992477012,-2.744899063775676,0.6659213886855266,0.6659213886855266,4.439217614225074,-0.0005110520382283212,0.786032077468224,-2.746526747678892
7,0.175,0.7131441763628221,-3.115006225359505,0.7768982442022601,0.7768982442022601,4.439074220669338,-0.000606269975454099,0.7126663464225185,-3.116696405386256
8,0.2,0.6311217205179955,-3.446790242226604,0.8878714178052448,0.8878714178052448,4.438926944119391,-0.0007051698264284312,0.6305174821100763,-3.448454876683763
9,0.225,0.5413347272367841,-3.736169220270308,0.9988409806778995,0.9988409806778995,4.438782514906189,-0.0008076804077329358,0.540597914017135,-3.737713461606273
10,0.25,0.4448878242362377,-3.979583019773392,1.109807189339991,1.109807189339991,4.438648346483679,-0.0009135451996000743,0.4440158403262133,-3.980907242696023
11,0.275,0.3429675742245429,-4.174036981162184,1.220770461957732,1.220770461957732,4.438530904709626,-0.001022346035818522,0.3419615701190622,-4.175039020211963
12,0.3,0.2368278774051172,-4.317138764391868,1.331731359173023,1.331731359173023,4.438435888611624,-0.001133522274487042,0.2356928536180243,-4.31771625060017
13,0.325,0.1277745446863458,-4.407127853109841,1.442690561557318,1.442690561557318,4.438368095371811,-0.001246393344151109,0.1265193812607064,-4.407180532983544
14,0.35,0.01714923270423639,-4.442897105458914,1.553648829637275,1.553648829637275,4.438330723198277,-0.001360198718153294,0.0157866426464421,-4.442329280269639
15,0.375,-0.09368706206664376,-4.424006476211498,1.664606971428157,1.664606971428157,4.43832567163527,-0.001474130381230676,-0.09514065571782848,-4.422729307794802
16,0.4,-0.2033707476949584,-4.350688374053676,1.775565800449942,1.775565800449942,4.43835316087141,-0.001587374813404541,-0.2048954095071392,-4.348622172033719
17,0.425,-0.3105524123448347,-4.223844797936428,1.886526097423164,1.886526097423164,4.438411878928875,-0.001699151294141776,-0.3121249652195691,-4.220921193578383
18,0.45,-0.4139134260103663,-4.045036295306112,1.997488569203577,1.997488569203577,4.438498871216516,-0.001808752967688232,-0.4155077907206447,-4.041200201076232
19,0.475,-0.5121821632679989,-3.816462685304504,2.108453818677023,2.108453818677023,4.438609978937849,-0.001915576948201103,-0.5137697622378238,-3.811674134850883
20,0.5,-0.6041496476167302,-3.540936062594006,2.219422310336349,2.219422310336349,4.438739666373041,-0.002019158742834204,-0.6056998670788134,-3.535171749252767
21,0.525,-0.6886844254817553,-3.221846166608016,2.33039435008644,2.33039435008644,4.438881590003639,-0.002119192446702556,-0.6901651285482828,-3.215100750164823
22,0.55,-0.7647464859630217,-2.863118671893293,2.441370071840263,2.441370071840263,4.439028870152924,-0.002215544146838333,-0.7661245691234114,-2.855405797320067
23,0.5750000000000001,-0.8314000559875717,-2.46916693007073,2.552349424930552,2.552349424930552,4.439174123611554,-0.002308264510508806,-0.8326420398015324,-2.460519889024181
24,0.6000000000000001,-0.8878251128931676,-2.044837622376929,2.663332184805081,2.663332184805081,4.439310394981174,-0.002397578089938346,-0.8888977575067851,-2.035309728433741
25,0.625,-0.933327472845494,-1.595351173809201,2.774317956927915,2.774317956927915,4.439430884913358,-0.002483879421063762,-0.9341984083650106,-1.585015744713928
26,0.65,-0.9673473313936738,-1.126237510045191,2.885306199080043,2.885306199080043,4.439529686085098,-0.002567710722895633,-0.967985692330816,-1.115187508274616
27,0.675,-0.9894661504551191,-0.6432680148704487,2.99629625007318,2.99629625007318,4.439602039725511,-0.002649733183716751,-0.9898432038600325,-0.6316153360486021
28,0.7000000000000001,-0.9994118075582897,-0.1523845533832135,3.107287356392062,3.107287356392062,4.439644252755276,-0.002730700318794188,-0.9995015638279071,-0.1402589297308862
29,0.7250000000000001,-0.9970619437228291,0.3403736602200373,-3.064906591309343,3.218278715870243,4.43965437912723,-0.002811414294572323,-0.9968417394455872,0.3528260735352597
30,0.75,-0.9824454687227194,0.8289443397887256,-2.95391579488743,3.329269512292156,4.439631856876536,-0.002892691326618291,-0.9818965112591632,0.8415627328121101
31,0.775,-0.9557422055262993,1.307316715924885,-2.84292635040057,3.440258956779016,4.439577779474387,-0.002975320293717942,-0.9548500691514915,1.319927697576218
32,0.8,-0.9172806778936069,1.769605494690475,-2.731938978578811,3.551246328600774,4.439494872870334,-0.003060021925918477,-0.9160357423258035,1.782025441461348
33,0.8250000000000001,-0.8675340686562381,2.210123244299032,-2.620954300607793,3.662231006571793,4.439387118840724,-0.00314741740885971,-0.8659318912475256,2.222160920654678
34,0.8500000000000001,-0.807114398296734,2.623450384461282,-2.509972803811882,3.773212503367704,4.43925987183643,-0.003237994066907834,-0.8051560121733656,2.63490976148039
35,0.875,-0.7367649953385175,3.004501852196032,-2.398994819854244,3.884190487325342,4.439119358305559,-0.003332083563228228,-0.7344571269253738,3.015185112155934
36,0.9,-0.6573513514252497,3.348589660865385,-2.288020508573333,3.995164798606253,4.438972451236435,-0.003429845736276693,-0.6547065517008979,3.35830033481802
37,0.925,-0.569850473350298,3.651480585130725,-2.177049848588735,4.106135458590851,4.438826399383903,-0.003531259205638015,-0.5668871586866381,3.660026765181296
38,0.9500000000000001,-0.4753388631733353,3.909448229026297,-2.066082640298507,4.217102666881078,4.438688331609089,-0.003636124369370108,-0.47208126282018,3.916645827980802
39,0.9750000000000001,-0.374979274312556,4.119318879836036,-1.955118514375412,4.328066792804173,4.438565036923801,-0.003744071900234403,-0.3714572829865288,4.124994865910398
40,1,-0.2700064064282134,4.278510550911371,-1.844156950353499,4.439028356826086,4.438462560876546,-0.003854581332279672,-0.2662553420414157,4.282506117246354
41,1.025,-0.1617117152441958,4.385064743810035,-1.73319730237664,4.549988004802946,4.43838591907434,-0.003967006809380003,-0.1577719831314019,4.38723836178312
42,1.05,-0.05142752407097239,4.437670550047836,-1.62223883042736,4.660946476752226,4.438338877971242,-0.004080608314058765,-0.04734419067186452,4.437900845066371
43,1.075,0.05948936745599013,4.435680772109124,-1.511280736977055,4.771904570202532,4.438323738012231,-0.004194588317711911,0.06366708708645757,4.433869186073298
44,1.1,0.1696743757273067,4.379119889596204,-1.40032220588951,4.882863101290076,4.438341243501765,-0.00430813068412661,0.1738937108290657,4.375193072288655
45,1.125,0.2777719213272425,4.268683758398666,-1.289362442530695,4.993822864648891,4.438390534352601,-0.004420440779270507,0.281977211574318,4.262595647339938
46,1.15,0.3824521063844433,4.105731046177401,-1.178400712576749,5.104784594602837,4.438469198157809,-0.004530784279284994,0.3865855328897134,4.097464598738669
47,1.175,0.4824270759782894,3.892266521330293,-1.067436378215544,5.215748928964041,4.438573374448199,-0.004638523372038961,0.4864294475912585,3.881835055565412
48,1.2,0.576466862322808,3.630916386231193,-0.9564689293055162,5.326716377874069,4.43869795640109,-0.004743147915970525,0.5802784466011828,3.618364506872992
49,1.225,0.6634145167432252,3.324895967402195,-0.8454980083155571,5.437687298864028,4.438836839598375,-0.004844300379970967,0.6669759041444759,3.310300049921779
50,1.25,0.7422003433444384,2.97797016069487,-0.7345234282203782,5.548661878959207,4.438983203807163,-0.00494179373875081,0.7454533323834382,2.961438371890467
51,1.275,0.811855059224094,2.594407109677591,-0.6235451813053375,5.659640125874247,4.439129876601602,-0.005035620277669572,0.8147435498114464,2.576078958260844
52,1.3,0.8715217193101565,2.178925697207425,-0.5125634397731536,5.770621867406431,4.439269661287371,-0.005125952199445116,0.8739926011143385,2.158971104551763
53,1.325,0.9204662591649693,1.736637491177601,-0.4015785475446225,5.881606759634963,4.439395689141226,-0.005213133424873284,0.9224702815951574,1.715255384446998
54,1.35,0.9580865259918997,1.272983854976842,-0.2905910027970485,5.992594304382536,4.439501789902971,-0.00529766213125793,0.9595791364557879,1.250400295682959
