step,time,au,av,phase,phase_unwrapped,omega_inst,phase_drift
0,0,1,0,-0,-0,0,-0
1,0.01,0.9840300231036792,-3.19399537926419,0.1806510102712177,0.1806510102712177,18.06510102712177,0.002935692744883089
2,0.02,0.9366307104261683,-6.285867156237991,0.3610785786957005,0.3610785786957005,18.04275684244827,0.005647943643031172
3,0.03,0.8593169480610083,-9.176885316794017,0.5410961096468634,0.5410961096468634,18.00175309511629,0.007950157067859509
4,0.04,0.7545583736680574,-11.77482956179615,0.7205750054741901,0.7205750054741901,17.94788958273266,0.009713735368851451
5,0.05,0.6257002917102811,-13.99678682975914,0.8994528524108746,0.8994528524108746,17.88778469366845,0.01087626477920134
6,0.06,0.4768576701584506,-15.77173748060697,1.077739288482233,1.077739288482233,17.82864360713581,0.01144738332422479
7,0.07000000000000001,0.3127844199898988,-17.04291255310339,1.255518687015778,1.255518687015778,17.77793985335448,0.01151146433143491
8,0.08,0.138721307596008,-17.76970992567477,1.432940762941598,1.432940762941598,17.74220759258203,0.01121822273092055
9,0.09,-0.03977211888049585,-17.928975369626,1.610198781959687,1.610198781959687,17.72580190180893,0.01076092422267538
10,0.1,-0.2169952538109177,-17.51565161645838,1.787504259759332,1.787504259759332,17.73054777996446,0.01035108449598532
11,0.11,-0.3872880478482164,-16.54290719100136,1.965063191533978,1.965063191533978,17.75589317746463,0.0101946987442969
12,0.12,-0.545211439228017,-15.04177108495874,2.143052090232107,2.143052090232107,17.79888986981287,0.01046827991609112
13,0.13,-0.6857212629724092,-13.06019366391971,2.321594551990636,2.321594551990636,17.85424617585292,0.01129542414828544
14,0.14,-0.8043297186327957,-10.66149746815756,2.500744302235074,2.500744302235074,17.91497502444382,0.01272985686638917
15,0.15,-0.8972487438364564,-7.922307572574575,2.680478600945117,2.680478600945117,17.97342987100427,0.0147488380500973
16,0.16,-0.9615107574969519,-4.930095159524535,2.860700732808482,2.860700732808482,18.02221318633655,0.0172556523871279
17,0.17,-0.9950632933169855,-1.780412004482242,3.041250380056254,3.041250380056254,18.05496472477713,0.02008998210856472
18,0.18,-0.996834634800322,1.426143707811225,-3.061262289121725,3.221923018057861,18.06726380016078,0.02304730258383803
19,0.19,-0.9667681632811636,4.587150596020355,-2.880687959351341,3.402497347828246,18.05743297703842,0.0259063148278873
20,0.2,-0.9058241703102607,7.601647998160209,-2.7004197807781,3.582765526401487,18.02681785732408,0.02845917587479363
21,0.21,-0.8159491411877705,10.37335782633783,-2.520624817428495,3.762560489751091,17.97949633496047,0.03053882169806332
22,0.22,-0.7000135867265022,12.81375306591586,-2.341408271001022,3.941777036178564,17.92165464274727,0.03204005059920156
23,0.23,-0.5617203834833858,14.84488758270745,-2.162800769820017,4.12038453735957,17.86075011810058,0.03293223425387293
24,0.24,-0.4054864928987648,16.40189053421677,-1.984755713552923,4.298429593626664,17.80450562670944,0.03326197299463285
25,0.25,-0.2363018571641361,17.43503661270894,-1.80715664373981,4.476028663439777,17.75990698131132,0.03314572528141113
26,0.26,-0.05957002532376745,17.91132975536479,-1.629832725623039,4.653352581556548,17.73239181167704,0.03275432587184657
27,0.27,0.1190644062747084,17.81555656433036,-1.452579937645525,4.830605369534061,17.72527879775135,0.03229179632302603
28,0.28,0.293896060426811,17.15077426609016,-1.275185679508982,5.007999627670605,17.73942581365436,0.03197073693323471
29,0.29,0.4593410017068761,15.93821398992285,-1.097454314288387,5.185730992891201,17.77313652205964,0.03198678462749616
30,0.3,0.6101150893492145,14.21660353854485,-0.9192310432806932,5.363954263898894,17.82232710076935,0.03249473810885561
31,0.31,0.7414027640082202,12.0409313932563,-0.7404215507477641,5.542763756431824,17.88094925329292,0.03358891311544987
32,0.32,0.8490108612444832,9.480688053996282,-0.5610048124234542,5.722180494756134,17.94167383243098,0.03529033391342473
33,0.33,0.9295025149766445,6.617642692435954,-0.3810369753346698,5.902148331844918,17.99678370887844,0.03754285347587505
34,0.34,0.9803068968292209,3.543233678079297,-0.2006455204489034,6.082539786730685,18.03914548857664,0.04021899083530656
35,0.35,0.9998013423206435,0.3556554202052312,-0.02001395238532255,6.263171354794266,18.06315680635809,0.04313524137255254
36,0.36,0.987363231596609,-2.843277565012171,0.1606419653330021,6.443827272512591,18.0655917718326,0.04607584156454436
37,0.37,0.9433898805576254,-5.951392642784493,0.3411034530167977,6.624288760196387,18.04614876837956,0.04882201172200507
38,0.38,0.8692857784675793,-8.869427775224684,0.5211781423003914,6.804363449479981,18.00746892835939,0.05118138347926404
39,0.39,0.7674176812609276,-11.50419166610569,0.7007246491820819,6.983909956361671,17.95465068816905,0.05301257283461958
40,0.4,0.6410390802671909,-13.77152853264162,0.8796697763481458,7.162855083527735,17.89451271660639,0.05424238247434943
41,0.41,0.494186377888879,-15.59901194302076,1.058017137983846,7.341202445163435,17.83473616356995,0.054874426583714
42,0.42,0.3315499502771671,-16.92827357932164,1.235845801456445,7.519031108636034,17.78286634726002,0.05498777252997922
43,0.43,0.1583242429444543,-17.71686788722094,1.413298904600157,7.696484211779746,17.74531031437111,0.05472555814735625
44,0.44,-0.01995815671132333,-17.9396120439346,1.590564915440792,7.873750222620381,17.72660108406353,0.0542762514616566
45,0.45,-0.1976031382054736,-17.58938425489546,1.767854772170672,8.051040079350262,17.72898567298807,0.05385079066520237
46,0.46,-0.3689368849319751,-16.6773650904048,1.94537673683171,8.2285620440113,17.75219646610376,0.05365743779990595
47,0.47,-0.5284871628034232,-15.23269048388481,2.123310945362284,8.406496252541874,17.79342085305745,0.0538763288041455
48,0.48,-0.6711581606382474,-13.30150908308003,2.301787120185727,8.584972427365317,17.84761748234435,0.0546371861012549
49,0.49,-0.7923931745833717,-10.94549370594483,2.48086833258013,8.76405363975972,17.90812123944024,0.05600308096932238
50,0.5,-0.8883200477131388,-8.239880920008599,2.660541801943207,8.943727109122797,17.96734693630773,0.0579612328060648
51,0.51,-0.9558748949794494,-5.271088533253537,2.840718120370643,9.123903427550232,18.01763184274348,0.06042223370716471
52,0.52,-0.9929001017979441,-2.133952830445351,3.021241446871823,9.304426754051413,18.05233265011806,0.06323024268201038
53,0.53,-0.9982132405663381,1.071325076767106,-3.081274790770805,9.48509582358837,18.06690695369573,0.06618399469263281
54,0.54,-0.9716446758652209,4.242387863456261,-2.900679596081741,9.665691018277435,18.0595194689065,0.06906387185536467
