step,time,au,av,phase,phase_unwrapped,omega_inst,phase_drift
0,0,1,0,-0,-0,0,-0
1,0.01,0.996055211884725,-0.7889576230550053,0.08890558269567359,0.08890558269567359,8.890558269567359,4.792393250625804e-05
2,0.02,0.9842519720828073,-1.571690337328561,0.1778094513661429,0.1778094513661429,8.890386867046935,9.413383980827472e-05
3,0.03,0.9646834046991074,-2.342023139411405,0.2667100340023769,0.2667100340023769,8.890058263623395,0.0001370577128749217
4,0.04,0.9375038957708259,-3.093878646244913,0.355605837752575,0.355605837752575,8.889580375019811,0.0001752026999056744
5,0.05,0.9029278792678606,-3.821324654348186,0.4444954571885275,0.4444954571885275,8.888961943595245,0.0002071633726908328
6,0.06,0.8612281465115007,-4.518621896923785,0.5333777215019904,0.5333777215019904,8.888226431346295,0.0002317689229864861
7,0.07000000000000001,0.8127336906428322,-5.180269276809885,0.6222517214276952,0.6222517214276952,8.887399992570481,0.0002481100855239449
8,0.08,0.7578271114175492,-5.80104656824673,0.7111167696728948,0.7111167696728948,8.886504824519962,0.0002554995675562166
9,0.09,0.6969415988367269,-6.376055947917725,0.7999724594355295,0.7999724594355295,8.885568976263473,0.0002535305670237076
10,0.1,0.6305575141085058,-6.900760997726501,0.888818705390839,0.888818705390839,8.884624595530935,0.0002421177591657164
11,0.11,0.55919859880746,-7.371022062482628,0.9776557083617738,0.9776557083617738,8.883700297093492,0.0002214619669332896
12,0.12,0.4834278443001274,-7.783128838983917,1.066483948055693,1.066483948055693,8.882823969391911,0.0001920428976851518
13,0.13,0.4038430500989061,-8.133830001260323,1.155304191578828,1.155304191578828,8.882024352313504,0.0001546276576527283
14,0.14,0.3210721062839012,-8.420358761740667,1.244117459876547,1.244117459876547,8.881326829771911,0.0001102371922045986
15,0.15,0.2357680400281986,-8.640454489399858,1.33292498619935,1.33292498619935,8.88075263228027,6.010475184003994e-05
16,0.16,0.1486038642276392,-8.792380670712021,1.421728185068252,1.421728185068252,8.88031988689019,5.644857574482742e-06
17,0.17,0.06026726732736803,-8.874938709342212,1.510528609414322,1.510528609414322,8.880042434607065,-5.158955952211386e-05
18,0.18,-0.02854481265264984,-8.887477286661362,1.599327898168214,1.599327898168214,8.879928875389215,-0.0001099595687972243
19,0.19,-0.117131686326863,-8.829897448181265,1.688127725522139,1.688127725522139,8.879982735392447,-0.0001677909780402054
20,0.2,-0.2047944408280236,-8.702653452050864,1.776929749523591,1.776929749523591,8.880202400145235,-0.0002234257397550898
21,0.21,-0.2908414542458878,-8.506749231521955,1.865735558413938,1.865735558413938,8.880580889034711,-0.0002752756125754541
22,0.22,-0.3745938524274302,-8.243730404786545,1.954546621230024,1.954546621230024,8.881106281608579,-0.0003218715596569055
23,0.23,-0.455390864655287,-7.915672040784814,2.043364244082762,2.043364244082762,8.881762285273767,-0.0003619074700864644
24,0.24,-0.5325950367339201,-7.525162374941805,2.132189526246865,2.132189526246865,8.882528216410284,-0.0003942840691508742
25,0.25,-0.6055972606079381,-7.075282399861766,2.22102332365518,2.22102332365518,8.883379740831547,-0.0004181454240028692
26,0.26,-0.6738215799426709,-6.569581467084837,2.309866226921611,2.309866226921611,8.884290326643056,-0.000432900920739776
27,0.27,-0.7367297338517789,-6.012049314736718,2.398718541715758,2.398718541715758,8.885231479414728,-0.0004382448897595204
28,0.28,-0.7938254036962425,-5.407084654156037,2.487580273936,2.487580273936,8.886173222024178,-0.0004341714326852042
29,0.29,-0.8446581290090235,-4.759460408400163,2.576451133351972,2.576451133351972,8.887085941597213,-0.0004209707798805695
