k,N,mesh_file,cells,dofs,h_min,h_nom,dt,T,theta,err_u,rate_u,err_v,rate_v
0,4,"../meshes/mesh-square-4.msh",42,30,0.2254208009959128,0.25,0.001,0.75,0.5,0.0530912556013276,0,0.2336681169497741,0
1,8,"../meshes/mesh-square-8.msh",162,98,0.1066525415219924,0.125,0.001,0.75,0.5,0.01293080905810369,2.03766171653892,0.06498320773053828,1.846322032260825
2,16,"../meshes/mesh-square-16.msh",618,342,0.04841716903036578,0.0625,0.001,0.75,0.5,0.003289730091073429,1.974771418188216,0.01739159846397961,1.901676423372076
3,32,"../meshes/mesh-square-32.msh",2400,1265,0.02683283718587901,0.03125,0.001,0.75,0.5,0.0008265910684118655,1.992723541461157,0.004503782955104093,1.949181328720229
4,64,"../meshes/mesh-square-64.msh",9516,4887,0.01357787331178513,0.015625,0.001,0.75,0.5,0.0002058406759323088,2.005645675339728,0.001160511567824931,1.956376399840033
5,128,"../meshes/mesh-square-128.msh",37960,19237,0.00674387077433764,0.0078125,0.001,0.75,0.5,5.105708748193699e-05,2.011344952050263,0.0003090406491478192,1.908892385130039
