level,dt,err_u,rate_u,err_v,rate_v
0,0.1,0.03384167562658709,0,0.04734399673597874,0
1,0.05,0.008709362520786298,1.958161973231988,0.01107646163366751,2.095684414912666
2,0.025,0.002186672487733212,1.993829970374967,0.002717180968636122,2.027314527578953
3,0.0125,0.0005407325581427818,2.015750024165123,0.0006755787398896386,2.007914821470685
4,0.00625,0.0001282894498751112,2.075512692841165,0.0001710301119160709,1.981873576639847
